ɣ o ²	k r o ²
² w e ²	kʰ w ɛ ²
ts r e ¹	ts r e ŋ ¹
s a ⁴	s a ⁴
m ɔ ⁴	m ɔ ⁴
ts i ²	ts i ²
g ɯ̃ ŋ ³	g ɯ̃ ³
tɕʰ i ¹	tɕʰ i ¹
s j e n ¹	s j e n ¹
pʰ r æ ⁴	pʰ r a ⁴
x ɯ ²	x ɯ ³³
tʰ r æ ⁴	tʰ j æ ⁴
k w a ¹	k w a ⁴
sʰ ɔ ³	sʰ ɔ ³
g o ¹	g o ¹
d o ⁴	d r o ⁴
pʰ e ¹	pʰ e ¹
p j ɛ ³	pʰ j ɛ ³
m e ¹	m e ¹
tɕ i ¹	tɕ i ¹
s e ¹	s r ɯ ²
x e n ¹	x e n ¹
p j i ⁴	b a ŋ ⁴
ɣ w a ⁴	tsʰ w a ⁴
b o ¹	b ã ¹
ʁ ¹ ⁴	ʁ ɯ ⁴
d j ɯ ¹	d j ɯ ¹
t ɯ ⁴	d j ɯ ²
o u ¹	ʂ u ¹
d o ŋ ¹	d o ŋ ¹
h ɔ ³	h ɔ ³
p r a ⁴	b r æ ⁴
s i ²	s i ²
x e n ¹	x e n ¹
q æ n ¹	q æ n ¹
d ɯ ⁴	tʲ ɯ ⁵
pʰ æ n ³	pʰ æ n ³
qʰ o ²	qʰ ɔ ²
m æ ²	m æ ²
m ɯ ⁴	m ɯ ⁴
s ɔ ⁴	s ɔ ⁴
t w e n ¹	t w e n ¹
qʰ w a ⁴	qʰ w a ⁴
ʈ o ⁴	ʈ o ⁴
dʑ i ³	d i ³
x æ n ¹	χ æ n ¹
