aʊ l a	aʊ l a m
kʷ aː d r ʊ m	kʷ aː d r ʊ m
s ɛ w ɛ r ɪ t aː t ɛ m	s ɛ w eː r ɪ t aː t ɛ m
uː s t ʊ l aː r ɛ	ʊ s t ʊ l aː r ɛ
m a k ɪ n aː r ɛ	m aː kʰ ɪ n aː r iː
s aː l k ɪ ɛ m	s a l ɪ k ɛ m
aː r b ɪ t r aː r ɛ	a r b ɪ t r aː r iː
f ɛ t ɪ d ʊ m	f eː t ɪ d ʊ m
k ɔ n w ɪ k j ʊ m	k ɔ n w iː k j ʊ m
aʊ g ʊ r j ʊ m	aʊ g ʊ r j ʊ m
d ɔ m ɛ s t ɪ k ʊ m	d ɔ m ɛ s t ɪ k ʊ m
a kː r ɛ m s k ɛ r ɛ	a kː r eː s k ɛ r ɛ
ɛ f ɛ k t aː ɛ r ɛ	ɛ fː ɪ k ɛ r ɛ
a b l ɛ m g a t oː n ɛ m	a b l eː g aː t j oː n ɛ m
p aʊ p ɛ r ʊ m	p aʊ p ɛ r ɛ m
p ʊ t aː r ɛ m	p ʊ t aː r ɛ
l aɪ k l ɛ	l eː g aː l ɛ m
n ɛ k sː ʊ m	n ɛ k s ʊ m
m ɛ n t ʊ m	m ɛ n t ʊ m
g r ɛ a t ɪ t	g r aː t ɪ t uː d ɪ n ɛ m
d ɛ k ɛ r n ɛ r ɛ	d eː k ɛ r n ɛ r ɛ
l ɪ b ɛ lː uː l a m	l iː b ɛ lː ʊ l a m
aː r m aː d j ʊ m	a r m aː r j ʊ m
k aː pː l ʊ m	k a p ʊ l ʊ m
k ɪ s t ɛ r n a m	k ɪ s t ɛ r n a m
p aː k t ʊ m	p a k t ʊ m
ɪ n t ɛ rː uː p t j oː n ɛ m	ɪ n t ɛ rː ʊ p t j oː n ɛ m
m ɪ k s t j ɔ n	m ɪ k s t j oː n ɛ m
ɛ r g aː s t ʊ l ʊ m	ɛ r g a s t ʊ l ʊ m
ɛ n s aː r ɛ	d eː n s aː r ɛ
t ɛ n s ʊ r a m	k eː n s uː r a m
