ɛ m ɛ r g ɛ r ɛ	eː m ɛ r g ɛ r ɛ
ɪ l ɛ s ʊ m	ɪ lː aɪ s ʊ m
m aː ŋ n ɛ s j ʊ m	m a ŋ n eː s j ʊ m
m ɛ m r k aː r ɛ	m ɛ r k aː r iː
s kʷ aː l ʊ m	s kʷ aː l ʊ m
s kʷ aː l ɪ d ʊ m	s kʷ aː l ɪ d ʊ m
p r ɔ f ɪ t ʊ m	p r oː f ɛ k t ʊ m
k ɛ lː aː	k ɛ lː a m
ɛ n s ɛ m	eː n s ɛ m
s aː p j ʊ m	s a p ɪ d ʊ m
s ɔ n ɔ r ʊ m	s ɔ n oː r ʊ m
p ɛ r n ɪ k j oː s ʊ m	p ɛ r n ɪ k j oː s ʊ m
t r a n s m ɪ g r a m r ɛ	t r aː n s m ɪ g r aː r ɛ
p r ɛ j uː d ɪ k aː r ɛ	p r aɪ j uː d ɪ k aː r ɛ
t ʊ s oː n ɛ m	t oː n s j oː n ɛ m
p ʊ n t ʊ m	p uː ŋ k t ʊ m
d ɛ l ɪ t ʊ m	d eː l ɪ k t ʊ m
r ɛ w ɛ d ɛ r ɛ	r ɛ w ɪ d eː r ɛ
p r ɛ d a t j oː n ɛ m	p r aɪ d aː t j oː n ɛ m
r aː m ʊ m	r aː m ʊ m
k ʊ m p l ɪ r ɛ	k ɔ m p l eː r ɛ
rː uː t a m	r uː t a m
s ʊ m p ʊ m r ɛ	s ɔ p oː r ɛ m
ɛ m a n k ɪ p aː t j oː n ɛ m	eː m a ŋ k ɪ p aː t j oː n ɛ m
uː r n a m	uː r n a m
ɛ kʷ a m	ɛ kʷ a m
a k r ɪ m oː n j a m	aː k r ɪ m oː n j a m
ɪ m b ɪ b ɛ r ɛ	ɪ m b ɪ b ɛ r ɛ
b a l t ɛ ʊ m	b a l t ɛu m
k ɪ k ɛ m	k ɪ k ɛ r
ɛ l ɛ n k ʊ m	ɛ l ɛ ŋ kʰ ʊ m
ɛ d ɪ l	aɪ d iː l ɛ m
w j ɛ n t ʊ m	w ɛ n t ʊ m
s ɪ m j a m	s iː m j a m
s ɪ k aː r j ʊ m	s iː k aː r j ʊ m
b ɔ t ʊ l ɪ n ʊ m	b ɔ t ʊ l ʊ m
b aː l n ɛ m aː r j ʊ m	b a l n ɛ aː r j ʊ m
p r ɔ p aː g aː t j oː n ɛ m	p r oː p aː g aː t j oː n ɛ m
n w a t aː r ɛ	n a t aː r ɛ
t ʊ n ɛ m k iː r ɛ	t ʊ n d ɛ r ɛ
ʊ r t ɪ k aː r j a m	ʊ r t iː k aː r j a m
s ɪ t j ʊ m	s ɪ t ʊ m
ɔ b s t r ʊ ɛ r ɛ	ɔ b s t r ʊ ɛ r ɛ
g ɔ b j ʊ m n ɛ m	g oː b j ʊ m
s oː r ɛ m a m	s ɔ r oː r ɛ m
a b s t r a m ɛ r ɛ	a b s t r a h ɛ r ɛ
f a s ɔ l a m	f a s k ɪ ɔ l a m
s a l ʊ t aː r ɛ	s a l uː t aː r ɛ
k aː nː a m	k a nː a m
m aː mː ɛ lː a m	m a m ɪ lː a m
g r ɛ aː m aː t ɪ k aː l	g r a mː a t ɪ k aː l ɛ m
ɪ r aː k ʊ n d j aː	iː r aː k ʊ n d j a m
t r aː l a m	t r aː g ʊ l a m
ɪ n d ɪ s k r ɛ t j oː n ɛ m	ɪ n d ɪ s k r eː t j oː n ɛ m
s p ɔ s a m	s p oː n s a m
f ʊ l ɛ k aː r ɛ	f ɔ lː ɪ k aː r ɛ
g ʊ d ɛ ʊ m	j uː d aɪ ʊ m
k ɔ n s t ɪ t ʊ ɪ r ɛ	k oː n s t ɪ t ʊ ɛ r ɛ
k r ʊ lː a m r ɛ	k ɔ rː ʊ ɛ r ɛ
k ɛ r k aː r ɛ	k ɪ r k aː r ɛ
d ʊ l t ɪ s ɔ n ʊ m	d ʊ l k ɪ s ɔ n ʊ m
w ɛ r g ɪ ɛ l ɛ	w ɪ r ɪ d aː r j ʊ m
k aː p aː k ɛ	k a p aː k ɛ m
l ɛ p r aː	l ɛ p r a m
ɪ n t ɛ rː ʊ p t j oː n ɛ m	ɪ n t ɛ rː ʊ p t j oː n ɛ m
ɪ n t ɛ r w ɛ r t ɪ r	ɪ n t ɛ r w ɛ r t ɛ r ɛ
s uː b m ɛ m ɛ r ʊ m	s uː b ɛ r ɛ m
s k ɔ l aː s t ɪ k ʊ m	s kʰ ɔ l a s t ɪ k ʊ m
r aː t oː n aː b ɪ l ɛ	r a t j oː n aː b ɪ l ɛ m
s ʊ l k ʊ m	s ʊ l k ʊ m
p ɔ s aː r ɛ	p aʊ s aː r ɛ
p ʊ l ɪ r ɛ	p ɔ l iː r ɛ
d ɛ m s ʊ m ɛ r ɛ	d eː s uː m ɛ r ɛ
a m s k r ɪ w ɛ r ɛ	aː s k r iː b ɛ r ɛ
r ɛ k ɛ n s ɪ r ɛ	r ɛ k eː n s eː r ɛ
ɛ t ʊ m	ɛ tː ʊ m
p r ɔ m ɔ n t oː r j ʊ m	p r oː m ʊ n t ʊ r j ʊ m
