s r a ⁵⁵	s r a ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
g w a ɴ ¹¹	g l a m ¹¹
kʰ o ¹¹	kʰ o ¹¹
kʰ w i ⁵⁵	kʰ w i ⁵⁵
b r e ⁵⁵	b r e ⁵⁵
tʰ o ¹¹	tʰ o ¹¹
l a ŋ ⁵⁵	l a ŋ ⁵⁵
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
s a ¹¹	s a ¹¹
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
kʰ a ¹¹	kʰ a ¹¹
s u ɴ ¹¹	s u n ¹¹
kʰ ei ¹¹	kʰ ei ¹¹
m ɨ ¹¹	m̥ ɨ ¹¹
b l a ¹¹	b l a ¹¹
s w w a ¹¹	s w w a ¹¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
n o ŋ ⁵⁵	n o ŋ ⁵⁵
w ɛ ⁵⁵	w ɛi ⁵⁵
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
ʔ a n ⁵⁵	ʔ a ɴ ⁵⁵
n a ¹¹	n a ¹¹
p o ¹¹	b o ¹¹
ʔ a ⁵⁵	ʔ a ⁵⁵
ʔ̚ w i ¹¹	ʔ w i ¹¹
m ə ¹¹	m ə ¹¹
kʰ u ¹¹	kʰ u ¹¹
cʰ a ɴ ¹¹	cʰ a ɴ ¹¹
p l a ¹¹	p l a ⁵⁵
ʔ ɛ n ¹¹	ʔ j ɛ n ¹¹
n e ŋ ¹¹	n̥ e ŋ ¹¹
