n w ɛ ¹¹	n̥ w ɛ ¹¹
ʔ ɔ ⁵⁵	ʔ ɔ ⁵⁵
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
cʰ u ɴ ¹¹	cʰ u ɴ ¹¹
p l a ¹¹	p l a ¹¹
h ou ¹¹	h ou ¹¹
s au ⁰	j ə ⁰
d o ¹¹	d o ¹¹
g a ŋ ⁵⁵	g a ŋ ⁵⁵
cʰ ə ɴ ⁵⁵	cʰ ə ŋ ⁵⁵
k w i ¹¹	ŋ w i ¹¹
k ⁵⁵ ə n ⁵⁵	ʔ w a ɴ ⁵⁵
r̥ o ŋ ¹¹	r o ŋ ¹¹
m ə ŋ ¹¹	m ə ŋ ¹¹
s w a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
pʰ ə ¹¹	p ɨ ¹¹
j a m ¹¹	j a m ¹¹
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
kʰ u ¹¹	kʰ u ¹¹
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
b e ŋ ⁵⁵	b e ŋ ⁵⁵
l ɛ ¹¹	l ɛ ¹¹
ˀd e ¹¹	ˀd e ¹¹
t ə ⁰	d ə ŋ ⁵⁵
s w w a ¹¹	s w w a ¹¹
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
tʰ o ¹¹	tʰ o ¹¹
m̥ ei ⁵⁵	m̥ ei ⁵⁵
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
n a ¹¹	n̥ a ¹¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
b l ɛ ʔ̚ ⁵¹	b l ɛ ʔ̚ ⁵¹
p l ɔ ɴ ¹¹	p l ɔ ŋ ¹¹
p l o m ¹¹	p l o m ¹¹
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
