k ɛ sː aː t j oː n ɛ m	k ɛ sː aː t j oː n ɛ m
r ʊ s t ɪ k aː n ʊ m	r uː s t ɪ k aː n ʊ m
ɛ tː ʊ m	ɛ tː ʊ m
m ɪ s t ɪ k ʊ m	m y s t ɪ k ʊ m
p r ɛ s aː g j ʊ m	p r aɪ s aː g j ʊ m
w ɪ n d ɪ t oː r ɛ	w eː n d ɪ t oː r ɛ m
a m ɛ n t ʊ m	aː m ɛ n t ʊ m
r ɛ t r ɔ k ɛ d ɛ r ɛ m	r ɛ t r oː k eː d ɛ r ɛ
s a k r ɪ f ɪ k aː t oː r ɛ m	s a k r ɪ f ɪ k aː t oː r ɛ m
r ɛ l ɛ w aː r ɛ	r ɛ l ɛ w aː r ɛ
ɔ l ɪ r ɛ	ɔ l eː r ɛ
ɪ n t ɛ l ɪ g ɪ r ɛ	ɪ n t ɛ lː ɛ g ɛ r ɛ
k ʊ p r m ʊ m	k uː p r ʊ m
k ɔ lː ɛ k t a m	k ɔ lː eː k t a m
k a s t r aː t ʊ m	k a s t r aː t ʊ m
a d mː ɪ n ɪ s t r aː r ɛ m	a d m ɪ n ɪ s t r aː r ɛ
r ɛ k t a ŋ g ʊ l ʊ m	r ɛ k t a ŋ g ʊ l ʊ m
b ɛ s t j aː r j ʊ m	b eː s t j aː r j ʊ m
uː r b ɛ m	ʊ r b ɛ m
k ɔ n k aː t ɛ n aː r ɛ m	k ɔ ŋ k a t eː n aː r ɛ
s ɛ k s t ʊ m	s ɛ k s t ʊ m
k ɔ ŋ ɪ ʊ g aː r ɛ	k ɔ n j ʊ g aː r ɛ
uː s ɪ t aː t ʊ m	uː s ɪ t aː t ʊ m
k ɔ n f j aː r ɛ	k oː n f iː d ɛ r ɛ
d ɛ l ɪ b ɛ r aː r ɛ	d eː l iː b ɛ r aː r ɛ
w ɪ n oː s ʊ m	w iː n oː s ʊ m
a b l ɛ g aː t j oː n ɛ m	a b l eː g aː t j oː n ɛ m
s aː b ʊ rː a m	s a b ʊ rː a m
a d ʊ ŋ k t j oː n ɛ m	a d j ʊ ŋ k t j oː n ɛ m
ɪ n f ɪ g ɛ r ɛ	iː n f iː g ɛ r ɛ
m ʊ l k ɛ r ɛ	m ʊ l k eː r ɛ
s ɛ g aː r ɛ	s ɛ k aː r ɛ
a w eː n a m	a w eː n a m
ɪ p ɛ r t ɛ p t ɪ b l ɛ m	ɪ m p ɛ r k ɛ p t ɪ b ɪ l ɛ m
a j ʊ n aː r ɛ	j eː j uː n aː r ɛ
k a s t aː n a m	k a s t a n ɛ a m
s ʊ b mː ɛ r g ɛ r ɛ m	s ʊ mː ɛ r g ɛ r ɛ
p ɛ r w ɛ r t ɪ r ɛ	p ɛ r w ɛ r t ɛ r ɛ
f ɪ j aː r ɛ	f iː d ɛ r ɛ
r ɪ k t ʊ m	r ɪ k t ʊ m
p a w ɪ l oː n ɛ m	p aː p ɪ l j oː n ɛ m
a b aː l ɪ ɛ n aː r ɛ m	a b a l ɪ eː n aː r ɛ
l ʊ n t r a m	l ʊ t r a m
k a w ʊ m	k a w ʊ m
ɪ l aː r ɛ	h ɪ l a r ɛ m
t ɛ t ʊ m	t eː k t ʊ m
w ɛ t ʊ s t ʊ m	w ɛ t ʊ s t ʊ m
l oː m b ʊ m	l ʊ m b ʊ m
f ɪ r m ɛ m	f ɪ r m ʊ m
p r ɛ d aː r ɛ	p r aɪ d aː r iː
p uː p a m	p uː p a m
l uː m ɪ n oː s ʊ m	l uː m ɪ n oː s ʊ m
ɪ n d uː r aː r ɛ	ɪ n d uː r aː r ɛ
l ɪ k t oː r ɛ	l iː k t oː r ɛ m
k ɔ n s ɔ r t ɛ m	k oː n s ɔ r t ɛ m
l ɪ b ɛ l ʊ m	l ɪ b ɛ lː ʊ m
k ɔ n k ʊ l k aː r ɛ	k ɔ ŋ k ʊ l k aː r ɛ
k ʊ p l a m	k oː p ʊ l a m
s t ʊ l t ʊ m	s t ʊ l t ʊ m
g ɛ n j aː l ɛ	g ɛ n j aː l ɛ m
s uː d aː r ɛ	s uː d aː r ɛ
