m a ŋ ²	m a ŋ ²
a ¹	a ¹
d e̠ ³	d ɛ̠ ³
ɣ i ¹	ɣ i ¹
dz i ¹	dz e ¹
s i̠ ¹	s i̠ ¹
ts a ³	ts a ³
p ɨ ²	p ɨ ²
tʃʰ i̠ ³	tʃʰ i̠ ³
ʃ ɛ ²	ʃ ɨ̠ ³
p u ²	p u ²
tʃʰ i̠ ¹	tsʰ i̠ ¹
g a ¹	g a ¹
kʰ i ¹	kʰ i ¹
ɣ ɨ ¹	ɣ ɨ ¹
p a ŋ ¹	p ɨ̠ ¹
b y̠ ³	b y ³
x a̠ ³	x a̠ ³
ˀl a ŋ ³	ˀl u ²
kʰ i ¹	kʰ i ¹
ˀn i ³	ˀn i ³
a ¹	a ¹
v i̠ ¹	ˀv i̠ ³
pʰ o ²	pʰ y ²
v e̠ ²	v i ²
dʒ a ŋ ¹	dʒ a ŋ ¹
ˀl u ³	l u ³
kʰ o̠ ³	kʰ o̠ ³
ɛ ²	ɛ ²
ŋ a ¹	ŋ a ¹
n̩ ²	n i ²
a ¹	a ¹
a ²	a ²
p a̠ ³	p a̠ ³
k o ²	k j o ²
t o ¹	kʰ o̠ ¹
a ¹	a ²
m a ŋ ²	m o̠ ³
pʰ i̠ ³	pʰ i̠ ³
b a ²	b a ²
t u ¹	t u ¹
a ¹	a ¹
n i ³	ˀn i ³
ts i̠ ³	ts i̠ ³
m u ¹	m o ²
a ²	a ²
kʰ ɨ ²	kʰ a ²
g o̠ ³	g o̠ ³
pʰ e̠ ¹	pʰ e̠ ¹
ɣ i̠ ³	ɣ i̠ ³
ɣ i ¹	ɣ i ¹
d u ¹	d u ¹
l u ¹	l u̠ ¹
d a ²	d a ²
dz e ²	dz i ³
v a ³	v a ³
b u ²	b o ²
l a ³	l o̠ ³
a ¹	a ¹
ɣ i ¹	ɣ i ¹
m o ¹	m o ¹
ˀl y ³	ˀl y ³
v e̠ ³	v e̠ ³
tʰ ɛ ³	tʰ ɛ ³
ʒ o̠ ³	ts o̠ ¹
m e ¹	m e ¹
b ɛ ¹	b ɛ̠ ¹
m u ¹	ˀm u ¹
s ɛ ²	s ɛ ²
t a ¹	t u ¹
tʰ a ²	tʰ a ²
ˀn e̠ ¹	ˀn e̠ ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
m a ³	m a ³
p a̠ ²	b ɨ ²
tʰ y ¹	tʰ y ¹
n i ³	ˀn i ³
a ¹	a ¹
tʃ a ³	tʃ a̠ ³
kʰ y ²	kʰ y ²
ʒ o ¹	ʒ u ¹
n e̠ ³	ˀn e̠ ³
tʃʰ ɛ ¹	tsʰ e̠ ³
tʃ ɛ ¹	tʃ i̠ ¹
s a ¹	s a ¹
b a ²	b a ²
a ¹	a ¹
l o̠ ¹	l u̠ ¹
ˀl a ŋ ³	ˀl a ŋ ³
k a̠ ³	k a̠ ³
dʒ a ²	dʒ ɛ ²
l a ²	l a ²
g i ¹	g ɨ ¹
p a̠ ³	p a̠ ³
s o ¹	s i ³
n ²	n u ²
dz i ¹	dz i ¹
tʃ i ¹	tʃ u ¹
d u ¹	d u ¹
s a ²	s a ²
x i̠ ³	x ɨ̠ ³
m ɨ ²	m ɨ ²
ˀm ɛ ¹	ˀm ɛ ¹
n y̠ ¹	ˀn y ¹
m i ¹	m i ¹
p a̠ ³	p a̠ ³
tsʰ a ¹	tsʰ a ¹
pʰ e ²	pʰ e ²
kʰ ɨ ²	kʰ ɨ ²
tsʰ y ¹	tsʰ y ¹
a ¹	a ¹
k a ŋ ¹	k j i ³
b j ɛ̠ ³	b j a̠ ³
h e ¹	h e ¹
m i ¹	m i ¹
k o ³	k o ³
u u ²	tʃʰ i ²
j i̠ ¹	ˀm j y̠ ¹
p ɛ̠ ³³	p ɛ̠ ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
kʰ e̠ ¹	kʰ e̠ ¹
g j u ²	g j ɛ ²
d e̠ ¹	d e̠ ¹
v e ³	ˀv ɛ ²
ˀv a ¹	ˀv a ¹
