tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
tʰ u n ¹¹	tʰ u ɴ ¹¹
s o ⁵⁵	s o ⁵⁵
m̥ a ¹¹	m̥ a ¹¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
ˀd o ¹¹	ˀd o ¹¹
pʰ ou ⁵⁵	pʰ ou ⁵⁵
tʰ ə ¹¹	tʰ ə ¹¹
p ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
m e ¹¹	m̥ e ¹¹
kʰ l i ʔ̚ ⁵⁵	kʰ l i ʔ ⁵¹
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
ˀb ei ¹¹	ˀb i ¹¹
s r e ⁵¹	s r e ³³
kʰ l̥ au ¹¹	kʰ l ɔ ¹¹
g i ⁵⁵	k i ⁵⁵
m l ɛ ¹¹	m w ɛ ¹¹
ŋ j a ⁵⁵	ŋ j ai ⁵⁵
n ɔ ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
m ə ŋ ¹¹	m ə ŋ ¹¹
m̥ a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
k l̥ ɛ ⁵⁵	k l ɛ ⁵⁵
k ə ⁰ ⁰	k ə ⁰
tʰ au ⁵⁵	tʰ au ⁵⁵
tʰ w i ¹¹	tʰ w i ¹¹
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
w ɛ ⁵⁵	w ɛi ⁵⁵
c u ⁵⁵	c u ⁵⁵
ʔ a m ¹¹	ʔ a m ¹¹
n ə ⁵⁵	n̥ i ⁵⁵
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
pʰ a ¹¹	pʰ a ¹¹
cʰ a ⁵⁵	cʰ a ⁵⁵
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
