g j a̠ ¹	g ɛ̠ ¹
n i̠ ¹	n i̠ ¹
d e̠ ³	d ɛ̠ ³
h e̠ ³	h e̠ ³
l e̠ ³	l e̠ ³
pʰ a ŋ ¹	pʰ j a ¹
ˀm j y ¹	ˀm j y̠ ¹
ˀn i ¹	ˀn i ¹
g y ²	g y ²
ˀl u ³	ˀl u ³
k a̠ ²	k a ŋ ²
u ²	e ²
k j ɛ ²	k j e ²
p y ³	p y ³
ˀn u̠ ³	ˀn u̠ ³
pʰ a ²	pʰ a ²
d e̠ ¹	d e̠ ¹
ɣ o ³	ɣ o ³
k ɛ ²	kʰ ɛ ²
l a ²	l a ²
m a ŋ ²	m a ŋ ²
k a ¹	k a ¹
l a ²	l a ²
k a ³	g a ³
ɣ i ³	ɣ i̠ ³
b ɛ̠ ¹	b ɛ̠ ¹
h u ²	h y̠ ³
kʰ ɨ ¹	kʰ i ¹
l i ³	ˀl i ³
ts ɿ ²	ts i ²
v e ¹	v e ¹
tsʰ i̠ ¹	tsʰ i̠ ¹
m e̠ ³	ˀm e̠ ³
b ɨ ¹	b ɨ ¹
m u ¹	m i ¹
ˀl y ¹	ˀl y ¹
ˀn a ¹	ˀn a ¹
p ɛ ³	p ɛ ³
g y ¹	g y ¹
n ²	n u ²
x a ³	ˀx o̠ ¹
tsʰ e ²	tʃʰ e ²
a ¹	a ¹
ɣ i ¹	ɣ i ¹
d u ²	d u ²
a ²	a ²
dʒ i ³	dʒ i ³
m o̠ ³	m o̠ ¹
kʰ i ²	kʰ ɨ ²
kʰ i ²	kʰ i ²
tsʰ i ²	tʃʰ e ¹
v u ¹	v u ¹
x ɨ̠ ³	x ɨ̠ ³
tʰ a ŋ ²	tʰ a ŋ ²
x a̠ ³	x a̠ ³
kʰ ɨ ¹	kʰ i ¹
kʰ o ¹	kʰ o ¹
pʰ i ³	g j e̠ ¹
pʰ o ²	pʰ o ²
tsʰ e̠ ¹	tsʰ e̠ ¹
ˀn i ¹	ˀn i ¹
l e̠ ³	l e̠ ³
ˀl o̠ ³	ˀl o̠ ¹
tʃ y ²	k j y ²
a ¹	a ¹
a ¹	a ¹
n y ¹	n y ¹
ts o̠ ³	ts o̠ ¹
ˀm o ³	ˀm y̠ ¹
b u ³	b u̠ ¹
s ɛ ²	s ɛ ²
ˀl u ³	l u ³
tʰ a ²	tʰ a ²
kʰ ɨ ³	kʰ ɨ ³
m o ²	m o ²
g i ¹	g i ¹
s e̠ ³	s e̠ ³
x a ¹	x a ¹
kʰ i ¹	kʰ i ¹
l o̠ ³	ˀl o̠ ³
x i ²	x ɨ ²
n i ²	n i ²
m a ²	m o̠ ³
m a ²	m a ²
a ¹	a ¹
p a ŋ ²	tʰ a ŋ ²
b a ŋ ³	b a ŋ ³
m ɨ ¹	m ɨ ¹
m e ¹	m e ¹
m a ŋ ³	m a ŋ ³
x ɛ ¹	kʰ a̠ ¹
kʰ a ¹	kʰ a ¹
ˀn i ³	ˀn i ³
h e ¹	h e ¹
d y ²	d y ²
tʃ ɨ ¹	tʃ u ¹
a ¹	a ¹
ˀn i ³	n i̠ ³
m e ¹	m e ¹
n i ²	n i ²
ɣ ɨ ¹	ɣ ɨ ¹
ʃ ɨ̠ ²	ʃ ɨ̠ ³
p e ²	tsʰ i ²
s i̠ ³	s i̠ ³
ˀm j e̠ ³	ˀm j e̠ ¹
ɣ ɨ ³	ɣ ɨ ³
d y ²	g j y ²
ɣ i ¹	ɣ i ¹
tʰ y ³	tʰ y ³
h a ¹	h ɛ̠ ¹
b ɨ ¹	b ɨ̠ ¹
h y ¹	x y ¹
d u ¹	d a ŋ ¹
m ɛ ²	m ɛ ²
b u ²	b o ²
ŋ a ¹	ŋ a ¹
tʃ a̠ ³	tʃ ɛ̠ ³
ˀm e ³	ˀm i ³
v a ³	v a ³
m a ³	m a ³
ɣ i ³	ɣ i̠ ³
p a̠ ³	p a̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
kʰ i ²	kʰ ɨ̠ ¹
