ˀb u ⁵⁵	ˀb ə ⁵⁵
ˀd a ⁵⁵	ˀd a ⁵⁵
kʰ ei ¹¹	kʰ ei ¹¹
kʰ r ou ⁵⁵	kʰ r ou ⁵⁵
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
ʔ ɔ ⁵⁵	ʔ ɔ ⁵⁵
s ə ⁰	s ə ⁰
kʰ u ¹¹	kʰ u ¹¹
m e ¹¹	m̥ e ¹¹
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
p ə ³³	p ə ⁰
kʰ l o ¹¹	kʰ l o ¹¹
k ə ʔ̚ ⁵¹	k ə ʔ̚ ⁵¹
m ɨ ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
kʰ a ɴ ⁵⁵	kʰ a ɴ ⁵⁵
s ə ¹¹	p ɨ ¹¹
l ou ¹¹	l̥ ou ¹¹
b r a ¹¹	b r a ¹¹
c i ¹¹	ɟ i ¹¹
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
s ei ¹¹	s ei ¹¹
r a n ¹¹	r a ɴ ¹¹
m ɨ ¹¹	m ɨ ¹¹
m ɨ ¹¹	m̥ ɨ ¹¹
pʰ r ɔ ⁵⁵	pʰ r ɔ ⁵⁵
tʰ u ⁵⁵	tʰ u ⁵⁵
m i ɴ ⁵⁵	m i n ⁵⁵
k l a ⁵⁵	k l a ⁵⁵
m ə ŋ ¹¹	m ə ŋ ¹¹
ɴ j a ⁵⁵	r j a ⁵⁵
t a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
m u ¹¹	m u ¹¹
p l o ŋ ¹¹	p l o ŋ ¹¹
g w a t̚ ⁵¹	k w a t̚ ⁵¹
k w a m ¹¹	g l a m ¹¹
