tɕ ɯ ¹	tɕ u ¹
χ u ⁴	χ ɯ ⁴
p æ n ²	p æ n ²
k o ⁵	k o ⁵
pʰ æ ⁴	pʰ æ ⁴
ɖʐ o ¹	ɖʐ u ŋ ¹
q o ⁴	q ɔ ⁴
m æ ²	m æ ²
m ɛ ²	m ɛ ²
sʰ o ŋ ¹	s o ŋ ¹
tʰ ɯ̃ ⁴	tʰ ɯ̃ ⁴
g ɯ ¹	g ɯ ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
dʑ a ⁴	dʑ a ⁴
t w ɛ ⁵	d w ɛ ⁵
tsʰ j e n ¹	tsʰ j e n ¹
p r æ ⁴	p r æ ⁴
dʑ i ¹	dz i ¹
kʰ o ⁴	kʰ o ⁴
d r ɔ ¹	d r ɔ ¹
tɕʰ j æ n ¹	tɕʰ æ ¹
b ɯ ¹	b ɯ ¹
tɕ r ɯ ¹	tɕ ɯ ¹
ɖʐ o ŋ ²	ɖʐ u ŋ ²
m e ²	m ə ²
s e n ⁵	s e n ⁵
ʈ r o ŋ ¹	d r o ŋ ¹
s j i ²	s j i ²
ŋ u ²	ŋ u ²
m ɯ ³	m ɯ ⁵
ɣ o ⁴	ɣ u ⁴
b o ²	b o ŋ ²
s r i ²	s r i ²
t ɯ ⁴	d j ɯ ²
b e ¹	b e ¹
n j o ŋ ²	n j o ŋ ²
tɕʰ i ¹	tɕʰ i ¹
ɖʐ i ²	ɖʐ i ²
ts w ɛ ⁴	ts w ɛ ⁴
n r o ²	ɕ w i ²
b r i ŋ ¹	p r i ¹
tʰ æ n ¹	tʰ æ n ¹
ŋ o ¹	ŋ o ³
ɖʐ i ¹	ɖʐ i ¹
ɕ o ⁴	ɕ a
m æ ¹	m æ ¹
tɕ j æ ⁴	tɕ æ ¹
