p o ²	p j o ²
ʂ o ⁴	s ɔ ⁴
ŋ ɔ ¹	ŋ ɔ ¹
n u ¹	n j o ŋ ¹
q a ŋ ¹	q a ŋ ¹
m j æ ŋ ¹	m j æ ¹
j a ⁴	j a ⁴
j e ²	n j i ²
kʰ o ŋ ¹	kʰ u ŋ ¹
b u ²	b ɯ ²
b o ¹	b ã ¹
æ ³	b j o ²
p j o ⁴	p j u ⁴
s j j e n ¹	sʰ j e n ¹
d w a ¹	d w a ⁴
qʰ o ¹	qʰ ɔ ¹
k ɯ ¹	k ɯ ¹
s r r i ⁴	s r i ⁴
b ɛ ⁴	b ɛ ⁴
p r o ¹	p r ɔ ¹
l u ŋ ¹	l o ŋ ¹
q æ ⁵	q æ ⁵
h ɔ ŋ ³	h a ŋ ⁵
n a ¹	n ɛ ¹
tʰ e ⁴	tʰ r e ⁴
ɖʐ o ⁵	ɖʐ o ³
ɖʐ i ²	ɖʐ i ²
s r o n ¹	s r o ⁴
p i ¹	p e ¹
s i ²	s i ²
s r u ¹	s r u ¹
m æ ⁴	m æ ⁴
ɣ ɔ ⁴	ɣ ɔ ¹
j o ⁴	b j o ⁴
d r o ¹	d r o ŋ ¹
ɣ æ ⁴	ɣ æ ⁴
ɣ o ³	g o ŋ ³
qʰ o ²	qʰ ɔ ²
d a n ¹	d r æ n ¹
b ɛ ²	p ɛ ²
ɕ w i ⁴	s w a ⁴
ɣ u ²	ɣ u ŋ ²
sʰ w a ŋ ¹	sʰ w a ŋ ¹
ts o ⁴	ts o ⁴
m ɔ ¹	m ɔ ¹
tsʰ j i ⁴	tsʰ j i ⁴
