t ɯ ⁴	tʲ ɯ ⁵
qʰ ɯ̃ ¹	qʰ ɯ̃ ¹
ts r ɯ ²	ʈ ɯ ²
b ɯ ¹	b r i ¹
m ɯ ⁴	m ɯ ⁴
dʑ a ⁴	dʑ a ⁴
kʰ o ³	kʰ r o ³
ts i ⁴	ts j i ⁴
m e ¹	m ɛ ¹
d j ɯ ⁴	t ɯ ⁴
q æ ⁴	q æ ⁴
ʈ r æ ⁴	ʈ æ ⁴
d r ɯ ¹	d j ɯ ¹
t w e n ²	t w e n ²
ts r o ²	ts r ɔ ²
tʰ ɛ ²	tʰ j e ²
s e ¹	s r ɯ ²
ɖʐ u ŋ ⁴	ɖʐ u ŋ ⁴
b i	p r i ⁴
d r o ¹	d r o ŋ ¹
t æ ŋ ⁴	t æ ŋ ⁴
d r ɯ̃ ¹	d r ɯ̃ ¹
ɣ u ²	ɣ u ŋ ²
p æ ⁴	p æ ⁴
ɖʐ o ¹	ɖʐ o ¹
tɕ ɯ ¹	tɕ u ¹
b e ¹	b e ¹
ɕ o ⁴	ɕ o ⁴
m ɯ ⁴	m ɯ ⁴
s r o ŋ ¹	sʰ r o ŋ ¹
sʰ w ɛ ⁴	sʰ w ɛ ⁴
ts r i ²	ts u ²
t ɛ ⁴	t ɛ ⁴
m ɛ ⁵	m ɛ ⁵
ŋ j e ŋ ¹	z r o ŋ ¹
qʰ w æ ¹	qʰ w æ ³
tɕ j e n ¹	tɕ e n ¹
k w ɛ ¹	k w ɛ ¹
p u ²	p ɯ ²
ɣ ɯ ²	ɣ ɯ ²
m r i ¹	m j i ¹
ŋ o ¹	ŋ o ³
s j e n ¹	s j e n ¹
k o ⁵	k o ⁵
j o ⁵	j ɔ ⁵
g ɯ ¹	g ɯ ¹
