cʰ a ⁵⁵	c a ⁵⁵
h ou ¹¹	h ou ¹¹
s a n ⁵⁵	s a ɴ ⁵⁵
r ou ¹¹	r ou ¹¹
tʰ w a ŋ ¹¹	tʰ w a ɴ ¹¹
l ei ⁵⁵	l ei ⁵⁵
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
kʰ j a ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
k o ¹¹	k ə ⁰
l a ŋ ¹¹	l̥ a ŋ ¹¹
r e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
cʰ ei ¹¹	cʰ ei ¹¹
cʰ j a n ¹¹	cʰ j a ɴ ¹¹
l a ⁵⁵	l a ⁵⁵
p a ⁵⁵	j ə ⁰
n̥ ei ⁵⁵	n ei ⁵⁵
n u ¹¹	n u ¹¹
ɲ̊ a ⁵⁵	ɲ̊ au ⁵⁵
tʰ e ¹¹	tʰ e ¹¹
g w a t̚ ⁵¹	k w a t̚ ⁵¹
kʰ w i ¹¹	kʰ w i ¹¹
m̥ a ¹¹	m̥ a ¹¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
kʰ l ɛ ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
w a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
p ə ʔ̚ ⁵¹	b ə ʔ̚ ⁰
l u ŋ ¹¹	l u ɴ ¹¹
tʰ ə ¹¹	tʰ u ¹¹
k ə ⁰	k ə ʔ ⁰
ˀd ə ¹¹	ˀd ə ŋ ¹¹
kʰ w i ⁵¹	kʰ w i t ⁵¹
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
k ə ʔ̚ ⁰	k ə ʔ̚ ⁰
