ʔ ɔ ŋ ¹¹	ʔ ɔ ɴ ¹¹
k a ⁰	k ə ʔ̚ ⁰
ʔ ɔ ⁵⁵	ʔ ɔ ⁵⁵
cʰ a ⁵⁵	cʰ a ⁵⁵
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
s ə m ⁵⁵	s ə m ⁵⁵
l a ⁵⁵	l a ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
l o ŋ ¹¹	l o ŋ ¹¹
h ou ¹¹	h ou ¹¹
s ə ⁰	s ə ⁰
ˀb ei ¹¹	ˀb i ¹¹
j a m ¹¹	j a m ¹¹
kʰ j a ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
kʰ w i ¹¹	kʰ w i ¹¹
r ou ¹¹	r ou ¹¹
kʰ i ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
kʰ a ɴ ⁵⁵	kʰ a ɴ ⁵⁵
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
s r e ⁵¹	s r e ³³
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
c i ¹¹	ɟ i ¹¹
cʰ ə ɴ ⁵⁵	cʰ ə ŋ ⁵⁵
k ə ⁰	k ə ⁰
n w ɛ ¹¹	n̥ w ɛ ¹¹
l u ⁵⁵	l u ⁵⁵
cʰ ɨ m ⁵⁵	cʰ ɨ m ⁵⁵
s w a ¹¹	s w w a ¹¹
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
l ə ⁵⁵	l ei ⁵⁵
l o ⁵⁵	l̥ o ⁵⁵
c i m ¹¹	ɟ i m ¹¹
s r ei ¹¹	s r ei ¹¹
kʰ u ¹¹	kʰ u ¹¹
m a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
