l u ³	l e̠ ³
ɣ u ¹	x a ŋ ¹
a ²	a ²
dʒ i ¹	dʒ i ¹
dz y ²	dz y ²
tʰ y ¹	tʰ y ¹
ˀn i ³	ˀn i ³
tʰ u ¹	tʰ u ¹
d a ¹	t a ŋ ³
kʰ a ¹	kʰ a ¹
pʰ o ²	pʰ o ²
g ɛ ²	s y ²
s ɛ ²	s ɛ ²
k a ³	k a̠ ³
ˀn e̠ ¹	ˀn e̠ ¹
b i ²	b o ²
tʃʰ i ¹	tʃʰ e ¹
tʃ j u ¹	tʃ a ŋ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
b j ɛ̠ ³	b j a̠ ³
p u ¹	pʰ e̠ ¹
t o̠ ³	t o̠ ³
a ²	a ²
l a ²	l a ²
m j o̠ ³	m j o̠ ³
t e ²	t e ²
kʰ i ¹	kʰ i ¹
dz i ²	dʒ i ²
l y̠ ³	ˀl y̠ ³
z a ²	z a ²
m i ¹	m i ¹
n a ¹	n a ¹
p a̠ ³	p a̠ ³
n i ²	n u ²
t u ¹	tʃʰ ɛ ²
g j u ²	g j ɛ ²
ɣ e̠ ¹	ɣ e̠ ¹
a ²	a ²
ts i̠ ³	ts i̠ ³
m a ²	m a ²
kʰ i ¹	kʰ i ¹
k u ²	kʰ ɨ̠ ¹
x a ŋ ³	ˀx o̠ ¹
s i ²	s i ²
d e ¹	d e ¹
n e ³	n e ³
ts e ²	ts e ²
m i ¹	m i ¹
ɣ i̠ ³	ɣ i̠ ³
dz e ¹	dz e ¹
tsʰ e̠ ¹	d u ¹
k u ¹	ts u ¹
x a ¹	h ɛ̠ ¹
ʃ y ¹	s y ¹
ɣ u ¹	ˀŋ y ¹
a ¹	a ¹
m e̠ ³	ˀm e̠ ³
t e̠ ¹	t i̠ ¹
a ¹	a ¹
n e ¹	n e ¹
d u ²	d u ¹
ʃ a̠ ³	ʃ a̠ ³
d u ¹	d u ¹
a ³	a ²
kʰ ɛ ²	kʰ j ɛ ²
d u ²	d u ²
tsʰ u̠ ²	g ɨ ²
b i ²	b j o ²
n a ²	n a ²
t u ²	d u ¹
dz a ¹	dz a ¹
kʰ o ³	kʰ j o ³
k i̠ ³	x i̠ ³
tʃʰ y ¹	tsʰ y ¹
pʰ i ²	pʰ e ¹
m a ³	m a ³³
ˀl i ¹	l i ¹
s a ²	tsʰ i ²
a ¹	a ¹
dz i ¹	dz i ¹
pʰ o ²	pʰ y ²
kʰ ɨ ¹	kʰ i ¹
n ɛ ¹	ɲ e ¹
ʃ a ³	ʃ a̠ ³
m a ³	m a ³
a ¹	a ¹
ˀn a ¹	ˀn a ¹
b y ³	b u̠ ¹
m a ³	m a ³
kʰ ɛ ²	kʰ j ɛ ²
b i ²	b i ²
b e̠ ¹	b e̠ ¹
d a ŋ ²	d u ²
g y̠ ³	g u̠ ³
a ¹	a ¹
k j e ²	k j ɛ ²
ɣ a ¹	s e ¹
ɲ u ¹	n u ²
ɣ a ³	g a ³
s y ²	s y ²
ʃ ɛ ¹	ʃ ɛ ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
k o̠ ³	k o̠ ¹
m a ŋ ²	m u ²
g o̠ ²	g y ²
g a̠ ¹	g ɛ̠ ¹
kʰ o̠ ¹	kʰ o̠ ¹
a ¹	a ¹
ˀn i ¹	ˀn i ¹
s i̠ ¹	s i̠ ¹
b y̠ ³	b y̠ ³
a ²	a ²
l a ²	l a ²
tsʰ y ¹	tsʰ y ¹
p a ¹	p a ¹
pʰ e ²	pʰ e ²
tsʰ ɛ ¹	tʃʰ ɛ ¹
n e̠ ³	n e̠ ³
t u ²	t u ²
t ɛ ²	t j ɛ ³³
m e ¹	m e ¹
tʰ a ŋ ²	tʰ o ²
m ɨ̠ ³	m ɨ̠ ³
k o ²	kʰ y ¹
ʒ i̠ ³	ʒ i̠ ³
