tsʰ i ⁴	tɕʰ i ⁴
m ɯ ⁴	m ɯ ⁴
b i ⁴	p r i ⁴
l o ŋ ¹	l o ŋ ¹
j e n ¹	j e n ¹
tsʰ o ŋ ¹	tsʰ o ŋ ¹
j ɯ ⁴	j ɯ ⁴
dz o ŋ ¹	dz o ŋ ¹
ts i ⁴	ts j i ⁴
j a ⁴	j a ⁴
q æ ¹	q æ n ¹
m o ²	m ø ²
dz i ¹	dz i ¹
qʰ w æ ³	qʰ w æ ³
t ɛ ⁴	t ɛ ⁴
ɣ ɯ ¹	ɣ ɯ ¹
ts i ²	ts i ²
ɣ ɛ ⁴	tsʰ w a ⁴
tɕ i ¹	tɕ i ¹
s r o ¹	s r o ¹
q æ ⁴	q æ ⁴
d o ⁴	d r o ⁴
m i ¹	m i ¹
qʰ a ⁴	qʰ a ⁴
tɕʰ i ¹	tɕʰ i ¹
b ɛ ²	p e ¹
ɖʐ i ¹	ɖʐ i ¹
m ɛ ³	m i ¹
n w e n ¹	ʁ w e n ¹
q ɯ ¹	q ɯ ¹
ɖʐ o ⁴	ɖʐ o ⁴
b r e ⁴	n j i ⁴
ŋ w æ ⁵	ŋ w æ ⁵
tʰ r r u ²	tʰ r u ²
dʑ æ n ³	dʑ æ n ³
ts i ⁴	ts j i ⁴
b a ⁴	b a ⁴
m ɔ ⁴	m ɔ ⁴
pʰ æ ²	pʰ a ¹
p r æ ⁴	p r æ ⁴
ŋ w e n ¹	ŋ w e n ¹
ɣ ɔ ²	ɣ ɔ ¹
m æ ²	m æ ²
q w a ⁴	ɣ w a ⁴
n ɔ ³	n ɔ ³
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
