s u ⁰	s u ⁵⁵
l a ŋ ⁵⁵	l a ŋ ⁵⁵
p l a ¹¹	p l a ¹¹
l u n ¹¹	l u ɴ ¹¹
m a ŋ ¹¹	m a ŋ ¹¹
ˀd ə ɴ ⁵⁵	ˀd ə ⁵⁵
tʰ ei ⁵⁵	tʰ ei ⁵⁵
l ei ⁵⁵	l ei ⁵⁵
m ɛ ʔ̚ ⁵¹	m̥ ɛ ʔ̚ ⁵¹
kʰ u ¹¹	kʰ u ¹¹
k ə ⁰	k ə ⁰
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
l ɛ ¹¹	l ɛ ¹¹
b e ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
k w a t ⁵¹	k w a t̚ ⁵¹
ˀd a ¹¹	ˀd ɛ ¹¹
tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
tʰ u ¹¹	tʰ u ¹¹
m a ⁵⁵	m̥ a ⁵⁵
n ɨ ŋ ⁵⁵	n ɨ ŋ ⁵⁵
k a ʔ̚ ⁰	k ə ʔ̚ ⁰
ʔ ɛ ŋ ¹¹	ʔ ɛ ɴ ¹¹
kʰ o ¹¹	kʰ o ⁵⁵
ˀd a ⁵⁵	ˀd a ⁵⁵
l o ɴ ⁵⁵	l o ⁵⁵
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
kʰ ei ¹¹	kʰ ei ¹¹
pʰ e ⁵⁵	pʰ e ⁵⁵
n ei ⁵⁵	n ei ⁵⁵
b l ei ⁵⁵	b l ei ⁵⁵
ɲ̊ a ⁵¹	ɲ̊ au ⁵⁵
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
