k a ŋ ⁵⁵	g a ŋ ⁵⁵
n a ¹¹	n a ¹¹
ʔ ɔ ŋ ⁵⁵	ʔ ɔ ⁵⁵
b l a ¹¹	b l a ¹¹
cʰ u ɴ ¹¹	cʰ u ɴ ¹¹
ˀb ɔ ⁵⁵	ˀb ɔ ɴ ⁵⁵
tʰ a m ⁵⁵	tʰ a m ⁵⁵
kʰ l o ¹¹	kʰ l o ¹¹
cʰ a n ⁵⁵	cʰ j a ɴ ⁵⁵
ʔ a n ⁵⁵	ʔ a ɴ ⁵⁵
c e ¹¹	c e ¹¹
n i ⁵⁵	n̥ i ⁵⁵
h ou ¹¹	h ou ¹¹
l a ¹¹	l a ʔ̚ ³³
n o ŋ ⁵⁵	n o ŋ ⁵⁵
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
k a ʔ̚ ⁰	k ə ʔ̚ ⁰
n ei ⁵⁵	n ei ⁵⁵
t ə t ¹¹	t ə ʔ̚ ⁰
ˀb a ŋ ⁵⁵	ˀb a ⁵⁵
l u n ¹¹	l u ɴ ¹¹
n ɔ ¹¹	n̥ ɔ ɴ ¹¹
ʔ ɔ ŋ ¹¹	ʔ ɔ ɴ ¹¹
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
d ɨ ⁵¹	d ə ŋ ⁵⁵
cʰ a ⁵⁵	c a ⁵⁵
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
l ei ⁵⁵	l ei ⁵⁵
cʰ a n ¹¹	cʰ j a ɴ ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
l ei ⁵⁵	l ei ⁵⁵
m ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
p l a ⁵⁵	p l a ⁵⁵
s ə ⁵⁵	s ə ⁰
m w u ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
b ə ŋ ¹¹	p ə ⁰
