n ɛ̠ ³	n ɛ ³
l y ²	l y ²
z i ²	z i ²
tsʰ e̠ ¹	tsʰ e̠ ¹
ˀm e̠ ³	ˀm j e̠ ¹
m a ŋ ¹	m o ¹
ˀn i ¹	ˀn i ¹
m a ²	m a ²
a ¹	a ¹
ʃ a ¹	ʃ a ¹
a ²	a ¹
g o̠ ³	g o̠ ³
t e̠ ¹	t i̠ ¹
dz a ¹	dz a ¹
ɣ i ¹	ɣ i ¹
k ɛ̠ ³	k u ²
b j ɛ̠ ³	b j a̠ ³
f u ³	f u ³
m o̠ ¹	m o̠ ¹
dz i ¹	tʰ a ²
p e ¹	p e ¹
b o ²	b o ²
b a ²	b a ²
ɣ ɨ ¹	ɣ i ¹
tsʰ i ³	tsʰ i̠ ¹
z a ³	z ɛ ¹
ˀn y̠ ³	ˀn y̠ ³
ˀv ɛ̠ ¹	ˀv ɛ̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
b ɛ̠ ³	b ɛ̠ ¹
ʒ ɨ ²	ʒ i̠ ³
ɲ i ³	ˀŋ j a̠ ¹
ŋ a ¹	ŋ a ¹
v ɛ ¹	v ɛ ¹
ʃ ɨ ²	ʃ ɨ̠ ³
z a ²	z a ²
tʰ a ŋ ²	tʰ a ŋ ²
v a ²	v a ²
m a ³	m a ³
k e̠ ²	k j e ²
kʰ ɛ ²	kʰ j ɛ ²
tʃ a̠ ³	tʃ a̠ ³
d e̠ ³	d ɛ̠ ³
a ¹	a ¹
a ¹	a ¹
kʰ a ²	kʰ a ²
ˀm o ¹	ˀm y̠ ¹
b o̠ ¹	b o̠ ¹
ˀl a ŋ ¹	l a ŋ ¹
z a ²	z a ²
d a ²	d y ²
tʰ a ²	tʰ a ŋ ²
v e̠ ³	v e̠ ³
m u ²	m j u ²
kʰ u ²	kʰ o ²
d e ²	d i ²
ˀn a ²	ˀn a ²
k ɛ ¹	k j ɛ ¹
tsʰ e ¹	tsʰ e ¹
ˀn i ³	ˀn i ³
ʃ a ¹	ʃ a ¹
t ɛ ²	t ɛ ¹
tsʰ e ¹	tsʰ e ¹
s ɛ ²	s ɛ ²
g a ²	g a ²
kʰ ɛ̠ ³	kʰ ɛ̠ ³
ts a ¹	ts a ¹
ʃ a ¹	ʃ a ¹
ˀm ɛ ¹	ˀm ɛ ¹
a ¹	a ¹
tʃ ɨ ¹	tʃ u ¹
ts e ²	ts e ²
ʃ y ¹	s y ¹
m j o̠ ³	m j o̠ ³
g o ³	g u̠ ³
d o̠ ³	tʃʰ e̠ ¹
ʃ ɨ ²	s i ¹
a ²	a ²
ɣ a ŋ ²	ɣ a ŋ ¹
s ɛ ²	s ɛ ²
g a ¹	g j a ¹
l i ¹	ˀl u̠ ¹
s e ¹	ɣ u ²
n u ¹	n u̠ ¹
a ¹	a ¹
t i ¹	t i ¹
n̩ ²	n̩ ²
a ²	a ²
t i ²	t i ²
ɣ a ŋ ²	ɣ a ŋ ²
g ɛ ²	kʰ u ²
v ɛ ²	v a ŋ ²
ɣ e ²	ɣ ɛ ²
k a ŋ ¹	k a ŋ ¹
k a ²	k a ŋ ²
l a ²	l a ²
x i ¹	x e ¹
k u ¹	k u ¹
dz a ²	dz a ²
h y̠ ²	h y̠ ³
p i ¹	p u ¹
l y ³	ˀl y ³
ˀl a ²	ˀl a ²
b y ²	b y ²
b y ³	b y ³
ts i ³	ts i ³
a ¹	a ¹
k u ³	k a ²
a ¹	a ¹
m i̠ ¹	m i̠ ¹
dʒ i ¹	dʒ i ¹
a ¹	a ¹
s y ²	s y ²
l ɛ ¹	l ɛ ¹
g ɨ ¹	g ɨ ¹
b a ŋ ³	b a ŋ ³
g o̠ ³	g o̠ ¹
kʰ o̠ ³	kʰ o̠ ³
t e̠ ¹	t e̠ ¹
n i ²	n i ²
ɣ a ²	ɣ a ŋ ²
tsʰ y ¹	tsʰ y ¹
z ɨ̠ ²	z a ²
ɣ ɨ ¹	ɣ i ¹
t o̠ ³	t o̠ ³
