ˀm e̠ ¹	ˀm j e̠ ¹
kʰ e ²	kʰ j ɛ ²
l a ³	l a ³
h i̠ ³	h e̠ ³
l a̠ ²	l a ²
ɣ i ¹	tʃʰ e̠ ¹
g j ɛ ²	kʰ u ²
ɲ i ³	ˀn i ³
tsʰ y ¹	tsʰ a m ¹
n e̠ ³	n i̠ ³
ʃ i ¹	ʃ i ¹
g o̠ ¹	g j o̠ ¹
m o̠ ²	m o̠ ¹
s ɛ ²	s ɛ ²
m j a ³	m j a ³
ʃ a̠ ³	ʃ a̠ ³
ɣ i ¹	ɣ i ¹
x a̠ ³	x a̠ ³
g ɨ ¹	g i ¹
ɣ a ŋ ²	ɣ a ŋ ²
ʃ ɛ ¹	ʃ ɛ ¹
d a ŋ ¹	d u ¹
b y ¹	b y ¹
tʰ i ²	tʃʰ e ²
ʃ a ³	ʃ a̠ ³
g j i ¹	tsʰ i̠ ³
m ɛ ²	m ɛ ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
v a ³	v a ³
b j ɛ̠ ¹	b j ɛ̠ ¹
z e̠ ³	z e̠ ³
ʒ a ¹	ʒ a ŋ ¹
ɣ a ŋ ¹	ʃ u ³
ˀv e̠ ¹	ˀv e̠ ¹
tsʰ u ¹	tsʰ u ¹
dz u ³	dz ɿ ³
ts ɛ ³	ts ɛ̠ ³
k j a ²	k a ŋ ¹
g i ¹	s i ¹
ˀn i̠ ²	ˀɲ y ²
dz i̠ ³	dz i̠ ¹
ʒ e̠ ³	ɣ e̠ ¹
s i ³	s i̠ ³
a ¹	a ¹
ˀn a ¹	ˀn a ¹
k a ŋ ¹	k a̠ ³
m ɛ̠ ³	ˀm e̠ ¹
kʰ i ¹	kʰ i ¹
p a̠ ¹	p a̠ ³
v a ²	v a ²
tʰ a ²	tʰ a ²
n̩ ²	n i ²
a ¹	a ¹
l y ²	l y ²
ɣ i ³	ɣ y ¹
b a ³	b a ŋ ³
ˀv e ²	ˀv ɛ ²
k a ³	k a ¹
x ɛ ²	x ɛ ²
b i ¹	b ɨ̠ ¹
t a ŋ ¹	d a ŋ ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
m a ³	m a ³
ŋ o ¹	ŋ o ¹
h a ¹	h a ¹
b e̠ ³	b e ³
tʰ y ²	dz i ¹
a ¹	a ¹
tʰ u ³	tʰ u ³
z e̠ ³	z e̠ ³
v e̠ ³	v e̠ ³
pʰ u ¹	pʰ u ¹
m a ²	m a ²
b o ²	b o ²
tʰ a ³	tsʰ ɛ̠ ¹
k e̠ ²	k j e ²
tsʰ i ²	tsʰ i ²
m a ³	m a ³
d a ²	d y ²
a ²	a ²
tsʰ y ¹	tsʰ y ¹
h o ²	h ɛ ²
l u ³	l u ³
ˀm ɛ ¹	ˀm ɛ̠ ¹
i ²	i ²
ˀl a ŋ ŋ ¹	ˀl u ²
s i ¹	s i̠ ¹
a ¹	a ¹
ɲ i ¹	n u ²
m a ³	m a ³³
l e̠ ³	l e̠ ³
n e ³	n e ³
a ¹	a ¹
m o̠ ¹	m o̠ ¹
h u ³	k j i ³
ˀn i ¹	ˀn i ¹
ŋ a ¹	ŋ a ¹
ts a ²	dʒ ɛ ²
m a ²	m a ³
a ²	a ²
a ¹	a ²
a ²	a ²
ˀm o ¹	ˀm y̠ ¹
g j a ³	g a ³
ts ɛ̠ ¹	ts ɛ ¹
ˀl i ¹	l i ¹
v e̠ ³	v e̠ ³
ɣ i ¹	ɣ i ¹
m a ³	m o ²
ˀn i ¹	ˀn i ¹
d u ¹	d a ŋ ¹
dz y ¹	dz y ¹
ɣ ɨ ³	ɣ ɨ ³
ˀl u ³	l u ³
t ɛ ²	t j ɛ ³³
g a ¹	g a ³
m a̠ ²	m a ²
t a ³	t a ³
l e̠ ³	l e̠ ³
tsʰ i ¹	tsʰ i ¹
d ɛ ²	d e ²
s i ¹	s i̠ ¹
a ¹	a ¹
kʰ u ²	kʰ u ²
m a ²	ˀm u ¹
