ˀv u ¹	v y ²
a ¹	a ¹
pʰ e ¹	pʰ e ¹
p a̠ ³	p a̠ ³
pʰ e ²	pʰ i ²
kʰ ɨ ²	kʰ ɨ̠ ¹
tʃ a ŋ ¹	tʃ ɛ ¹
p a ¹	p a ¹
ɣ i ¹	ɣ i ¹
ˀm ɛ ¹	ˀm ɛ̠ ¹
l y ²	l y ²
m a ³	m a ³
ts a̠ ²	dz ɛ̠ ³
ɣ i ¹	ɣ i ¹
d ɛ ¹	tʰ u ³
b a ²	b a ²
d i ¹	d i ¹
ɣ i ¹	ɣ i ¹
kʰ i ²	kʰ ɨ ²
tsʰ a ¹	tsʰ a ¹
ŋ o̠ ¹	ŋ w a ¹
d u ¹	d u ¹
m j a ¹	m j a ³
l u ³	l u̠ ¹
kʰ y ³	k j o̠ ³
i ²	i ²
ɣ a ŋ ²	ɣ a ŋ ²
ɣ a ¹	ˀx a ¹
k a ²	k a ŋ ¹
a ¹	a ¹
ʒ e̠ ¹	ɣ e̠ ¹
g i̠ ¹	g a ¹
a ¹	e̠ ¹
g j o̠ ³	g o̠ ³
ˀl a ŋ ³	ˀl a ŋ ³
dz ɛ ¹	dʒ ɛ ¹
h e̠ ³	h e̠ ³
l e̠ ³	l e̠ ¹
p ɨ̠ ²	p e̠ ³
m j a ŋ ¹	m j a ŋ ¹
v ɛ̠ ³	v ɛ̠ ³
b a ²	b a ²
ˀm o ¹	ˀm y̠ ¹
tʃʰ i ¹	tʃʰ e ¹
kʰ a ³	g a ³
a ¹	a ²
g j a ²	g ɨ ¹
ʃ a ³	ʃ a̠ ³
tʰ a ŋ ¹	tʰ u ²
n e̠ ¹	n e̠ ¹
z i ²	z i ²
ts e ²	ts e ²
p ɨ ŋ ¹	p ɨ ¹
p a ¹	v u ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
a ¹	a ¹
kʰ a ²	kʰ a ²
x a ŋ ¹	x i ¹
n i ¹	n i ¹
v e̠ ³	v e̠ ³
h e ¹	h e ¹
m a ¹	m a ŋ ²
a ¹	a ¹
p y̠ ¹	p y̠ ¹
a ¹	a ²
g j i ²	g i ²
s ɛ ²	s ɛ ²
pʰ y ²	pʰ y ²
tʃ ɛ ³	t e̠ ³
tsʰ i ²	tsʰ i ²
tsʰ a ¹	tsʰ a ¹
d i ²	d i ²
d u ¹	d u ¹
ˀn e̠ ³	n i̠ ³
m a̠ ²	m ɨ ²
d u ²	d u ¹
kʰ u ŋ ²	kʰ u ¹
tʃʰ i̠ ²	tʃʰ i ²
j a ŋ ¹	j a ŋ ²
b o ²	b o ²
dʒ i ¹	dʒ i ¹
b ɛ̠ ¹	b ɛ̠ ¹
s ɛ ²	s ɛ ²
tsʰ a ¹	tsʰ a ¹
k o̠ ¹	k j i ³
k a ŋ ¹	k a ŋ ¹
tsʰ y ¹	tsʰ y ¹
ʃ ɛ ¹	ʃ ɛ ¹
ɣ ɛ ¹	ɣ ɛ ¹
k a ¹	k u ¹
kʰ ɛ ³	kʰ ɛ ²
g u ³	g o ŋ ³
n i ²	n̩ ²
n j a̠ ³	ɲ a̠ ³
ts a ³	ts a ³
tʃ ɛ̠ ³	tʃ ɛ̠ ³
a ¹	a ¹
v u o ¹	v u ¹
x i ¹	x e ¹
a ¹	a ¹
ʃ ɛ ¹	ʃ ɛ ¹
pʰ ɨ ¹	p ɨ̠ ¹
ˀn i ³	ˀn i ³
k ɛ ¹	k ɛ ¹
tʰ u ¹	tʰ u ¹
ʃ i ²	ʃ ɨ ²
kʰ ɛ ¹	kʰ a̠ ¹
d a ²	d a ²
pʰ y ²	pʰ j y ²
kʰ ɨ ³	kʰ ɨ̠ ³
pʰ i ²	pʰ i ²
n y ¹	n y ¹
s j a ŋ ¹	s y ¹
a ¹	a ¹
s ɛ ²	s ɛ ²
p a ¹	p a ¹
b a ³	b a ³
s i̠ ²	s i ²
tʃʰ i̠ ²	tʃʰ i ²
x a̠ ³	x a̠ ³
p a̠ ³	p a̠ ³
kʰ i ²	kʰ a ²
ɣ i ³	ɣ i ¹
s a ²	tsʰ i ²
h a ¹	h a ¹
