tʰ e ²	tʰ j e ²
q w ɛ ³	q w ɛ ³
qʰ o ¹	qʰ u ¹
t ɯ ⁴	d j ɯ ²
t w a ⁴	d w a ⁴
b æ ⁴	b æ ⁴
tʰ r e ⁴	tʰ j e ⁴
ʈ r ɯ ¹	d r ɯ̃ ¹
b æ n ¹	b æ ŋ ¹
kʰ o ¹	qʰ o ŋ ¹
tɕ j ɯ ²	tɕ ɯ ²
ts e ⁵	d j ɛ ⁵
d o ŋ ¹	d o ŋ ¹
ʁ ɯ ⁴	ʁ ɯ ⁴
q a ŋ ¹	q a ŋ ¹
k r o ŋ ¹	ɣ o ŋ ¹
pʰ r æ ¹	pʰ r æ ¹
s r r o ŋ ¹	s o ŋ ¹
qʰ a ⁴	qʰ a ⁴
ts o ⁴	ts o ⁴
b o ¹	b ã ¹
qʰ w a ⁴	qʰ w a ⁴
n r e ⁴	n j i ⁴
g ɯ ¹	g ɯ ¹
h ɔ ¹	z ɔ ¹
n w ø ⁴	b j o ⁴
l o ŋ ¹	l o ŋ ¹
qʰ ɔ ¹	qʰ ɔ ¹
n r ¹	w u ⁴
m a ⁴	m a ⁴
b e ¹	b e ¹
ts i ¹	dz i ¹
ts j j a ³	tɕ a ³
h æ ŋ ³	h a ŋ ⁵
t ɛ ⁴	t ɛ ⁴
ɖʐ o ŋ ¹	z r o ŋ ¹
q æ ¹	q æ n ¹
n r e n ¹	z e n ¹
k o ⁵	k o ⁵
sʰ w a ⁴	sʰ w a ⁴
p u ²	p ɯ ²
s i ²	s i ²
ts o ⁴	ts o ⁴
d r ɯ ⁴	d j ɯ ¹
ts o ŋ ¹	ts u ŋ ¹
g o ¹	g o ¹
