p r a ⁴	pʰ a ¹
x w æ ¹	x w a ¹
s r i ²	s r i ²
pʰ e ¹	pʰ e ¹
tʰ u ³	tʰ r u ³
n j o ŋ ¹	n j o ¹
dʑ i ³	d i ³
s e n ⁵	s e n ⁵
χ ɯ ⁴	χ ɯ ⁴
t w e n ²	t w e n ²
s r r o ŋ ¹	sʰ r o ŋ ¹
ŋ o ŋ ¹	ŋ ɔ ¹
g ɔ ¹	g ɔ ¹
q æ n ²	q æ n ²
m ø ²	m o ²
sʰ w ɛ ⁴	sʰ w ɛ ⁴
t w ɛ ⁴	d w ɛ ⁵
d ɛ ⁴	d ɛ ⁴
ŋ w æ ⁵	ŋ w æ ⁵
m r æ n ¹	m j æ ¹
b ə ²	b e ²
n ɛ ¹	n ɛ ¹
b j ɛ ²	b j ɛ ²
d j ɯ ⁴	t ɯ ⁴
l ɔ ¹	l ɔ ¹
k u ŋ ¹	k o ŋ ¹
n j ɛ n ²	n j i ²
b e ⁵	b ɛ ⁴
sʰ r o ŋ ¹	s o ŋ ¹
tsʰ o ŋ ³	tsʰ o ŋ ³
d o ŋ ¹	d r ɔ ¹
tɕ i ¹	tɕ i ¹
ts j j e n ⁴	ts j e n ⁵
qʰ j u ¹	qʰ u ²
tʰ e ⁴	tʰ r e ⁴
k a ŋ ¹	k a ŋ ¹
x w i ²	x w i ²
n ɔ n ³	n ɔ ³
kʰ r o ŋ ŋ ¹	qʰ o ŋ ¹
ɯ ²	ɯ̃ ²
t u ²	t u ²
sʰ r ɯ ²	sʰ r ɯ ²
n r o ŋ ⁴	ŋ j o ŋ ⁴
s w a ŋ ¹	s w a ŋ ²¹
ɖʐ o ¹	ɖʐ o ¹
m ɯ ¹	m ɯ ¹
ʈ j o ŋ ¹	d r o ŋ ¹
