b o ⁴	p j u ⁴
qʰ w a ŋ ²	qʰ w a ŋ ²
tʰ r u ²	tʰ r u ²
d o ŋ ¹	d r o ŋ ¹
j ɯ ⁴	j ɯ ⁴
d ɯ ³	d r ɯ ³
m ø ²	m ø ²
ɕ j e n ¹	s j e n ¹
kʰ j o ²	kʰ r o ²
t i ¹	tʲ ɯ ¹
m ɯ ⁴	m ɯ ⁴
x e n ¹	x e n ¹
k a ŋ ¹	k a ŋ ¹
ŋ r o ŋ ⁴	ŋ j o ŋ ⁴
s i ²	s r i ²
s r o ŋ ¹	sʰ r o ŋ ¹
n w e n ¹	ʁ w e n ¹
d j o ⁴	ɖʐ o ⁴
ŋ w e n ¹	ʔ w e n ¹
ɣ ɯ ²	ɣ ɯ ²
d ɔ ¹	d ɔ ¹
k w a ⁴	k w a ⁴
b æ n ³	b æ n ³
x w i ²	x w i ²
b æ ¹	b æ ¹
b ø ŋ ²	b o ŋ ²
ɣ j a ⁴	tsʰ w a ⁴
m ø ²	m o ²
d j a n ¹	d r æ n ¹
s w a ŋ ¹	s w a ŋ ¹
ɣ ɯ ²	ɣ ɯ ²
j o ŋ ²	ŋ j o ²
qʰ w a ⁴	qʰ w a ⁴
k o ŋ ²	k o ŋ ²
tɕ j ɯ ²	tɕ ɯ ²
ŋ w æ ⁵	ŋ w æ ⁵
tʰ æ n ¹	tʰ æ n ¹
q æ ⁵	q æ ⁵
q ɛ ¹	q ɛ ¹
ŋ w a ŋ ⁴	ŋ w a ⁴
k æ ⁴	k æ ⁴
s r o ²	s r o ²
tsʰ w a ŋ ²	tsʰ w a ŋ ²
n o ⁴	ʔ o ⁴
m ɛ ¹	m ɛ ¹
sʰ i ¹	s r e ŋ ¹
