t ɯ ⁴	d j ɯ ²
n j o ŋ ²	n j o ŋ ²
q æ n ²	q æ n ²
m ɔ ¹	m ɔ ¹
tʰ e ²	tʰ j e ²
ts r o ŋ ¹	ts u ŋ ¹
j ɯ ⁴	j ɯ ⁴
l ɔ ¹	l ɔ ¹
j e n ¹	j e n ¹
b u ³	p u ³
t a ⁴	d a ⁴
d ɯ ²	d r ɯ ²
ɖʐ i ¹	ɖʐ i ¹
h ɔ ¹	z ɔ ¹
tsʰ o ⁴	tsʰ o ⁴
j o ⁴	j ɔ ⁴
qʰ a ⁴	qʰ a ⁴
b ɔ ³	b ɔ ³
q ɯ ¹	q ɯ ¹
ts i ¹	ts r i ¹
m e ¹	m e ¹
g o ŋ ¹	ɣ o ŋ ¹
tɕ i ³	d i ³
g ɯ ¹	k ɯ ¹
d o ŋ ¹	d o ŋ ¹
ts u ²	ts u ²
t ɛ ⁴	t ɛ ⁴
kʰ o ⁴	kʰ o ⁴
n o ŋ ¹	n o ŋ ¹
ŋ w a ŋ ⁴	ŋ w a ⁴
sʰ w a ¹	ɕ w i ²
q ɯ ¹	q ɯ ¹
p j i ³	pʰ j ɛ ³
d o ¹	ɖʐ o ¹
sʰ w ɛ ⁴	sʰ w ɛ ⁴
s r ɯ ²	sʰ r ɯ ²
tɕ i ¹	tɕ i ¹
qʰ w æ ¹	qʰ w æ ¹
j ɔ ⁵	j ɔ ⁵
ɣ ɯ ²	ɣ ɯ ²
j a ⁴	j a ⁴
d æ ⁴	w u ⁴
q w a ⁴	q w a ⁴
ɣ o ⁵	ɣ o ⁴
ts j j æ n ¹	tɕ æ ŋ ¹
ɕ i ²	s j i ²
