aʊ l aː	aʊ l a m
kʷ a d r ʊ m	kʷ aː d r ʊ m
s ɛ w ɛ r ɪ t aː t ɛ m	s ɛ w eː r ɪ t aː t ɛ m
uː s t ʊ l aː r ɛ	ʊ s t ʊ l aː r ɛ
m a k ɪ n aː r	m aː kʰ ɪ n aː r iː
s a l k m ɛ	s a l ɪ k ɛ m
a r b ɪ t r aː r ɛ	a r b ɪ t r aː r iː
f ɛ t ɪ d ʊ m	f eː t ɪ d ʊ m
k ɔ n b ɪ t j ʊ m	k ɔ n w iː k j ʊ m
aʊ g uː r j ʊ m	aʊ g ʊ r j ʊ m
d ɔ m ɛ s t ɪ k ʊ m	d ɔ m ɛ s t ɪ k ʊ m
a kː r ɛ t ɛ r ɛ	a kː r eː s k ɛ r ɛ
eː fː ɛ k t aː ɛ r	ɛ fː ɪ k ɛ r ɛ
a b l ɛ g a m k j oː n ɛ m	a b l eː g aː t j oː n ɛ m
p aʊ p ɛ r ʊ m	p aʊ p ɛ r ɛ m
p uː t aː r ɛ ɪ m	p ʊ t aː r ɛ
l eː k ʊ m l ɛ	l eː g aː l ɛ m
n ɛ k s ʊ	n ɛ k s ʊ m
m ɛ n t ʊ m	m ɛ n t ʊ m
g r aː t ɪ t ɛ m m	g r aː t ɪ t uː d ɪ n ɛ m
d eː k ɛ r n ɛ r ɛ	d eː k ɛ r n ɛ r ɛ
l ɪ b ɛ lː ʊ l a m	l iː b ɛ lː ʊ l a m
a r m aː r j ʊ m	a r m aː r j ʊ m
k a pː j l ʊ m	k a p ʊ l ʊ m
k ɪ s t ɛ r n a m	k ɪ s t ɛ r n a m
p a k t ʊ m	p a k t ʊ m
ɪ n t ɛ rː ʊ p t j oː n ɛ m	ɪ n t ɛ rː ʊ p t j oː n ɛ m
m ɪ k sː t j oː n	m ɪ k s t j oː n ɛ m
ɛ r g aː s t ʊ l ʊ m	ɛ r g a s t ʊ l ʊ m
ɪ n s aː r ɛ m ɛ	d eː n s aː r ɛ
k ɛ n s ʊ r a m	k eː n s uː r a m
d ɛ m ɛ n t ɪ ɪ a m r ɛ	d eː m ɛ n t aː r ɛ
k ɔ r ʊ s k a m r ɛ	k ɔ r ʊ s k aː r ɛ
f ɪ l ɔ s oː f j a m	pʰ ɪ l ɔ s ɔ pʰ j a m
d eː l ɪ n kʷ ɛ n t j a m	d eː l ɪ ŋ kʷ ɛ n t j a m
g ɛ n j ɪ aː l ɛ	g ɛ n j aː l ɛ m
a n ʊ s	aː n ʊ m
s ɛ r oː t ɪ n ʊ m	s eː r oː t ɪ n ʊ m
l aː ŋ g oː r ɛ	l a ŋ gʷ oː r ɛ m
f ɛ mː ɪ n a m	f eː m ɪ n a m
d eː p ɛ n d ɛ r ɛ	d eː p ɛ n d eː r ɛ
s kʷ aː m a m	s kʷ aː m a m
b ɛ lː ɪ k ʊ m	b ɛ lː ɪ k ʊ m
ɪ k mː aː k ʊ l aː t ʊ m	ɪ mː a k ʊ l aː t ʊ m
k ɔ n t r ɛ m aː w ɛ n ɪ r	k ɔ n t r aː w ɛ n iː r ɛ
s w aː j d ɪ r ɛ	s w aː d eː r ɛ
k aː m ɪ n ʊ m	k a m iː n ʊ m
