r̥ o ŋ ¹¹	r o ŋ ¹¹
k l a ⁵⁵	k l a ⁵⁵
ʔ a m ¹¹	ʔ a m ¹¹
l w ɛ ⁵⁵	l w ɛ ⁵⁵
d ə ⁰	t ə ʔ̚ ⁰
s ə ¹¹	s ə ⁰
k ə ⁰	k ə ⁰
tʰ u ¹¹	tʰ u ¹¹
s w a ¹¹	s w w a ¹¹
m a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
g o ¹¹	g o ¹¹
cʰ r a ¹¹	cʰ a ¹¹
ʔ u ⁵⁵	ʔ u ⁵⁵
ˀb w a ⁵⁵	ˀb w w a ⁵⁵
m ɛ ¹¹	m w ɛ ¹¹
cʰ ɨ m ⁵⁵	cʰ ɨ m ⁵⁵
tʰ u ¹¹	tʰ u ¹¹
s ə ⁵⁵	s ə ⁰
n w ɨ m ⁵⁵	n ɨ m ⁵⁵
g i ¹¹	ɟ i ¹¹
cʰ r ou ¹¹	cʰ r ou ¹¹
cʰ w a ɴ ¹¹	cʰ j a ɴ ¹¹
d e ŋ ⁵⁵	d e ɴ ⁵⁵
ˀd o ¹¹	ˀd o ¹¹
m a ¹¹	m̥ a ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
k ə ʔ̚ ⁰	k ə ʔ̚ ⁰
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
b l a ¹¹	b l a ¹¹
l a ¹¹	l̥ a ¹¹
m i ⁵⁵	m i ⁵⁵
tʰ r o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
kʰ l ei ⁵¹	kʰ l i ʔ ⁵¹
d o ¹¹	d o ¹¹
