d i̠ ²	dz ɿ ³
ˀl i ¹	l i ¹
l o̠ ³	l o̠ ³
ɣ j i ²	b a ²
a ¹	a ¹
ˀx a ²	x a ²
d y ²	d y ²
dz u ³	dʒ u ³
p ɨ ²	p j ɨ ²
ɣ a ¹	k a ²
ʃ i ²	ʃ y ¹
p a̠ ³	p a̠ ³
ts i ¹	ts u ¹
tʃʰ e̠ ²	d u ¹
m a ¹	m a ŋ ²
k ɛ ¹	k j ɛ ¹
ˀl a ²	ˀl a ²
b y ³	b y ³
kʰ u ²	kʰ u ¹
dz a ¹	dz a ¹
ˀn o ²	ˀɲ y ²
s a ¹	s a ¹
ɣ i ³	ɣ i ¹
p a̠ ³	p a̠ ³
kʰ ɛ ²	kʰ j ɛ ²
k ɨ ²	k j o ²
dz y ¹	dz y ¹
dz o̠ ³	dʒ o̠ ³
ˀn y ¹	ˀn y ¹
d i ²	d i ²
tʃ i ³	tʃ ɨ̠ ¹
s y ¹	s y ¹
a ¹	a ¹
d e̠ ³	tʃ e̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
p ɨ ¹	p y ¹
dz ɛ ¹	dʒ ɛ ¹
ˀn a ²	ˀn a ²
tsʰ i ²	tsʰ i ²
ˀl a ¹	ˀl a ¹
n e̠ ¹	n i̠ ¹
m o ³	m u ³
ts i̠ ²	ts i ²
ˀl a ŋ ¹	l a ŋ ¹
pʰ ɨ ²	pʰ y ²
tsʰ a ¹	tsʰ a ¹
k i ¹	k i ¹
ˀn e̠ ³	n e ²
dz ɛ ²	dʒ ɛ ²
t e ²	t e ²
dz a ²	dz a ²
ˀn a ¹	ɲ a̠ ¹
tsʰ y ¹	tsʰ y ¹
ŋ a ¹	ŋ a ¹
k o ²	k j o ²
b i ²	b a ²
t ɛ̠ ²	t a̠ ³
ˀv ɛ ³	ˀv ɛ ²
m e ³	m i ¹
n e ³	n e̠ ³
x ɛ ¹	x e̠ ³
l e̠ ²	l e̠ ³
kʰ a ³	kʰ a ³
n a ŋ ¹	n a ¹
g j u ²	kʰ y ¹
ɣ a ŋ ²	ɣ a ŋ ²
tʰ a ³	tʰ a ³
kʰ ɨ ³	kʰ ɨ ³
ˀv e̠ ¹	ˀv e̠ ¹
t y ¹	t y ¹
d a ¹	d a ŋ ¹
tʃʰ i ¹	tʃʰ e ¹
m j a ³	m j a ³
x a ¹	k u ³
kʰ o̠ ³	kʰ o̠ ³
ʃ ɨ ²	ʃ ɨ ²
ɣ a ¹	ɣ a ³
v a ²	v a ²
t i ¹	t i ¹
n j a̠ ³	ɲ a̠ ³
l i ²	ˀl i ²
z a ²	z a ²
g i̠ ³	k u ³
ˀl i ³	ˀl i̠ ³
n̩ ²	n i ²
dz a ²	dz a ²
a ¹	a ¹
s ɛ ²	s ɛ ²
k o̠ ¹	k o̠ ¹
l e̠ ³	l e̠ ³
n a ŋ ¹	ɲ a ¹
l e̠ ³	l e̠ ³
p a̠ ³	p a̠ ³
dz i ²	dz i ²
dz i ¹	dz i ¹
ˀm ɛ̠ ¹	ˀm ɛ̠ ¹
b y ³	b y̠ ³
g i ¹	tsʰ i̠ ³
m a ³	m a ³³
g a ŋ ¹	g a ŋ ³
tsʰ o̠ ¹	tsʰ o̠ ¹
m ɛ ²	m e ²
ɣ i ¹	ɣ i ¹
h ɨ ²	s i ¹
dz e ¹	dz e ¹
tʃʰ i ³	tʃʰ i̠ ³
m j a ŋ ¹	m j a ŋ ¹
d a ŋ ¹	t a ŋ ³
p a̠ ³	p a̠ ³
m a ŋ ²	m a ŋ ²
a ¹	a ¹
ts i ¹	ts i ¹
m ɛ ²	m ɛ ²
ɣ ɛ ²	ɣ ɛ ²
m ²	m u ²
f u ³	f u ³
kʰ a ²	kʰ a ŋ ²
a ¹	a ¹
dz i ²	dz a ŋ ²
t ɛ ¹	t ɛ ¹
tʃ ɛ ¹	tʃ ɛ ¹
d e̠ ³	d ɛ̠ ³
g a ²	g a ²
m o̠ ³	m u ³
ˀn i ¹	ˀn i ¹
