t e ⁴	t ɛ ⁴
j i ³	j i ³
b r i n ¹	b r i ²
q æ ⁴	q æ ⁴
χ æ n ¹	χ æ n ¹
ɖʐ i ¹	ɖʐ i ¹
tɕ ŋ i n ²	dʑ i ²
tsʰ j e n ¹	tsʰ j e n ¹
ɕ i ²	s j i ²
ʈ ŋ o ⁴	d r o ⁴
s r ŋ i ¹	s r e ŋ ¹
b j a ⁴	b r æ ⁴
d j æ n ¹	d r æ n ¹
h a ŋ ³	h a ŋ ⁵
tʰ u ŋ ³	tʰ r u ³
q ɔ ¹	ɣ ɔ ¹
ʔ w e n ¹	ʔ w e n ¹
q a ŋ ¹	q a ŋ ¹
ɖʐ r ɯ ³	d r ɯ ³
qʰ o ŋ ¹	qʰ o ŋ ¹
q ɯ ¹	q ɯ ¹
m æ ²	m æ ²
k a ŋ ¹	k a ŋ ¹
d j ɯ ²	d r ɯ ²
b r o ⁴	b j o ⁴
l ɔ ¹	l ɔ ¹
o ⁴	ɔ ⁴
ʈ o ŋ ⁴	d r o ⁴
tɕʰ j e n ¹	tsʲʰ e n ¹
k o ŋ ¹	k o ŋ ¹
q w a ⁴	q w a ⁴
p ɛ ⁴	b ɛ ⁴
ʈ r æ ⁴	ʈ æ ⁴
j ɯ ⁴	j ɯ ⁴
tɕ r i ¹	tɕ ɯ ¹
q w a ⁴	q w a ⁴
ʈ o n ¹	ɖʐ o ¹
g ɔ ¹	g ɔ ¹
p j o ²	p j ɛ ²
ŋ w a ŋ ⁴	ŋ w a ⁴
g ɯ ³	g ɯ̃ ³
pʰ a ⁴	pʰ a ¹
tsʰ o ŋ ¹	tsʰ o ŋ ¹
tʰ u ŋ ²	tʰ j u ²
p r e n ¹	p r e n ¹
m i ²	m i ²
