aʊ d aː k ɛ	aʊ d aː k ɛ m
k ɔ l ɛ g j ʊ m	k ɔ lː eː g j ʊ m
k ɛ l iː b eː	k aɪ l ɪ b ɛ m
a b uː s aː r ɛ	a b uː t iː
f uː r ɛ m n ɪ	f uː r ɛ m
k eː r t a m m ɛ m	k ɛ r t aː m ɛ n
f ɪ n iː t j oː n ɛ m	f iː n iː t j oː n ɛ m
ʊ s ʊ aː l ɛ	uː s w aː l ɛ m
k ɔ n s ʊ m aː r	k oː n s ʊ mː aː r ɛ
k a p r ɪ n ʊ m	k a p r iː n ʊ m
ɪ mː ʊ t aː r	ɪ mː uː t aː r ɛ
a sː ɪ d ʊː m	a sː ɪ d ʊː m
s a n aː b ɪ l ɛ m	s aː n aː b ɪ l ɛ m
s uː b ʊ g aː r	s ʊ b j ʊ g aː r ɛ
p ɛ l y a m g ʊ m	p ɛ l a g ʊ s
p a rː aː iː w r aː pʰ ʊ m	p a r a g r a pʰ ʊ m
k ɔ m p aː s ɪ b l ɛ m	k ɔ m p a sː ɪ b ɪ l ɛ m
k a l aː r ɛ	kʰ a l aː r ɛ
a b s t ɛ n ɛ m r ɛ	a b s t ɪ n eː r ɛ
w ɛ r aː k ɛ	w eː r aː k ɛ m
k ɔ n t r aː k t ɛ r ɛ	k ɔ n t r a h ɛ r ɛ
ɔ b n ʊ b ɪ l a m r ɛ	ɔ b n uː b ɪ l aː r ɛ
s w aː aː w ɪ t aː t ɛ m	s w aː w ɪ t aː t ɛ m
s t r aː t ʊ m	s t r aː t ʊ m
n a d aː d oː r	n a t aː t oː r ɛ m
ɛ k s t ɪ r p aː t j oː n ɛ m	ɛ k sː t ɪ r p aː t j oː n ɛ m
f uː g aː r ɛ	f ʊ g aː r ɛ
p r oː iː b ɪ k j oː n ɛ m	p r ɔ h ɪ b ɪ t j oː n ɛ m
d eː f ɛ n s j oː n ɛ m	d eː f eː n s j oː n ɛ m
d eː s k ɛ ŋ d ɛ r ɛ m	d eː s k ɛ n d ɛ r ɛ
m ɔ w ɪ m ɛ n t ʊ m	m oː w ɪ m ɛ n t ʊ m
a kː w ɪ s ɪ t j oː n ɛ	a kː w ɪ s iː t j oː n ɛ m
aʊ s k ʊ l ʊ m	oː s k ʊ l ʊ m
f ɔ r n aː l j j	f ɔ r n aː k ʊ l a m
a w ɔ	a w ʊ m
t a r d ʊ m m ʊ m	t a r d ʊ m
p ɪ l aː r ɛ	p ɪ l aː r ɛ
l aʊ r t	l aʊ r ɛ aː t ʊ m
f ʊ n t ɛ	f ɔ n t ɛ m
m oː rː ɛ	m oː r ɛ m
a w ɔ k aː r ɛ	a d w ɔ k aː r ɛ
m ɛ s ʊ r aː r ɛ	m eː n s uː r aː r ɛ
s aɪ l w a m	s ɪ l w a m
ɪ s t r j ʊ m n ɛ m	h ɪ s t r j oː n ɛ m
a m p l ɪ f ɪ k aː r ɛ	a m p l ɪ f ɪ k aː r ɛ
ɪ ŋ d iː t j ʊ m	ɪ n d ɪ k j ʊ m
r ɛ k ɛ d ɛ r ɛ	r ɛ k eː d ɛ r ɛ
a p l ʊ m	a m p l ʊ m
k ɔ l eː	k aʊ l ɛ m
k ɔ n w ɛ k sː ʊ m	k ɔ n w ɛ k s ʊ m
t r ɪ b ʊ l ɛ r	t r ɪ b ʊ l aː r ɛ
k ɔ lː ɛ	k ɔ lː ɛ m
d eː l aː t oː r ɛ	d eː l aː t oː r ɛ m
d aː m ɛ b uː l aː t j oː n ɛ m	d ɛ a m b ʊ l aː t j oː n ɛ m
l a k r ɪ m aː r ɛ	l a k r ɪ m aː r ɛ
f a w oː r ɛ	f a w oː r ɛ m
