k e̠ ²	k j e ²
tʰ y ²	dz i ¹
ˀn a ²	ˀn a ²
b a ²	b o ³
n i̠ ³	n i̠ ³
p ɛ ¹	pʰ e̠ ¹
a ³	a ¹
t i ²	t ɛ ¹
pʰ i ²	pʰ e ²
dz i ³	dz e ¹
pʰ y̠ ³	pʰ y̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
ˀn e̠ ²	n e ²
a ¹	a ¹
m a ¹	m a ³
ˀl ɨ ³	ˀl i ³
l e̠ ³	l e̠ ³
s u ¹	ʒ a ¹
kʰ u ¹	kʰ u ¹
tsʰ u ¹	tsʰ u ¹
v e̠ ¹	ˀv i̠ ³
ˀl o̠ ¹	ˀl o̠ ¹
s e ¹	s e ¹
tsʰ e ¹	tsʰ e ¹
h i̠ ³	h e̠ ³
p ɨ ²	p j ɨ ²
x a ¹	h ɛ̠ ¹
dz ɛ ²	dz ɛ ²
ʒ i ³	ʒ i̠ ³
v ɨ ¹	ɣ i ¹
s i ¹	s i ²
g a ³	g a ³
x u ²	x ɛ ²
g ɛ̠ ²	g ɛ ²
g o ²	g o ²
a ¹	a ¹
ɣ u ²	d u ¹
p i ¹	p y ¹
tʰ u ³	tʰ u ³
tsʰ u ¹	tsʰ u ¹
n̩ ²	n i ²
b e̠ ¹	b e̠ ¹
a ²	a ²
m e̠ ³	ˀm e̠ ³
kʰ u ¹	kʰ u ¹
v a ³³	v a ³
dz y ²	dz y ²
m a ¹	m ɛ ³
ɣ a ŋ ³	j a ŋ ²
t a ²	t a ⁵⁵
l ɛ̠ ²	l e̠ ³
pʰ ɛ ³	p ɛ ³
b o ²	b o ²
m u ¹	m j a ²
n o ²	n u ²
pʰ u ³	pʰ u ³
a ¹	a ¹
n y ²	n y ²
n̩ ²	n i ²
z a ²	z a ²
m a ³	m o ²
l o̠ ³	l u̠ ¹
h a ¹	h a ¹
kʰ a ²	kʰ a ²
tʃʰ i ¹	kʰ j e ¹
k y ¹	k j o ¹
h y̠ ³	h y̠ ³
t ɛ ²	t ɛ ¹
ˀl u ²	l i ²
l a ¹	l a ¹
v a ²	v a ²
n e ¹	n e ¹
d i ¹	d i ¹
ʃ o̠ ¹	h u ¹
h o̠ ³	s e ³
b a ³	b a ³
d a ¹	t a ŋ ³
l u ³	l u ³
n ɛ̠ ³	n ɛ ³
z a ³	z ɛ ¹
m ɛ ²	m e ²
tʃʰ i ²	tʃʰ i ²
j a ¹	b j y ¹
z i ²	s u ¹
s a ²	dz i ²
tʃ a ³	tʃ a ³
m u ³	m a ŋ ³
a ¹	a ¹
n i ²	n i ²
k ɛ̠ ³	k u ²
ɣ ɨ ¹	ɣ i ¹
f u ³	f u ³
dz i ¹	dz i ¹
ɣ i ¹	ɣ i ¹
b y ¹	b y ¹
ˀl o̠ ¹	ˀl o̠ ¹
d e̠ ¹	d e ¹
a ²	a ²
a ²	a ²
tʃ a ³	tʃ a̠ ³
s j a ŋ ¹	s y ¹
b a ²	b a ²
m a ³	m a ³³
ɨ ²	ɨ̠ ³
tʃ a̠ ³	tʃ a̠ ³
ʃ o ¹	ɣ u ²
pʰ e̠ ¹	pʰ e̠ ¹
tsʰ i ¹	tsʰ i ¹
ˀn a ³	ɲ a̠ ¹
kʰ ɨ ¹	kʰ i ¹
dz a ŋ ¹	dz a ŋ ¹
ˀl a ²	ˀl a ²
l a ²	l a ²
g u ¹	g o ŋ ¹
m a ³	m a ³
ŋ a ¹	ŋ a ¹
z a ²	z a ²
h ɛ ¹	h ɛ̠ ¹
a ¹	a ¹
ʃ a ³	ʃ a̠ ³
ʒ i ŋ ²	ʒ i̠ ³
h e̠ ³	h e̠ ³
pʰ e ¹	pʰ e ¹
n e̠ ¹	ŋ j a̠ ¹
pʰ ɛ ²	pʰ ɛ ²
