ɕ r i ²	ɕ w i ²
p æ ¹	b j o ²
p r e ²	p ɛ ²
qʰ a ⁴	qʰ a ⁴
s j i ²	s j i ²
k o ⁴	qʰ ɔ ⁴
tsʰ j æ n ¹	tsʰ j æ n ¹
m ø ²	m ø ²
d a ¹	d ɔ ¹
d r e ⁴	d r ɛ ⁴
m ɯ ŋ ¹	m ɯ ¹
tsʰ j a j ⁴	tsʰ w a ⁴
k u ²	k u ²
ʈ u ⁴	ʈ o ⁴
n o ŋ ⁵	n o ŋ ⁵
k o ŋ ²	k o ŋ ²
p r æ ¹	b æ ¹
pʰ j æ ¹	pʰ r æ ¹
ɖʐ o ŋ ŋ ²	ɖʐ u ŋ ²
qʰ o ²	kʰ r o ³
dʑ i ⁴	d i ⁴
t u ²	t u ²
ʁ o ŋ ŋ ¹	ʁ o ŋ ¹
tʰ æ ⁴	tʰ a ⁴
n ɔ ³	n ɔ ³
m æ ²	m æ ²
tʰ e	tʰ e ⁴
qʰ æ ⁴	qʰ æ ⁴
s w a ŋ ¹	s w a ŋ ²¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
s u ³	sʰ ɔ ³
m æ ⁵	m æ ⁵
dʑ a ⁴	dʑ a ⁴
sʰ r ɯ ²	sʰ r ɯ ²
b j o ⁴	b j o ⁴
m ɯ ²	m ɯ ²
ts r e ŋ ¹	ts r e ŋ ¹
k u ŋ ¹	k o ŋ ¹
p u ²	p ɯ ²
b a ⁴	b a ⁴
s r r e ŋ ²	s r e ŋ ²
ɕ o ⁴	ɕ o ⁴
s r o ŋ ¹	s o ŋ ¹
n o ¹	n j o ŋ ¹
t w e n ¹	t w e n ¹
d ɔ ¹	d r ɔ ¹
ɖʐ u ŋ ⁴	ɖʐ u ŋ ⁴
