ɣ i ³	ts ɛ ³
m i ³	m i ¹
k a ¹	k a ŋ ¹
tsʰ e ¹	tsʰ e̠ ¹
ts u ³	ts o̠ ¹
dz i ¹	dz i ¹
a ¹	e̠ ¹
g u ²	kʰ y ¹
ts a ¹	ts a ¹
pʰ a ŋ ¹	pʰ j a ¹
ʃ ɨ ²	ʃ ɨ ²
l o̠ ³	l u̠ ¹
l a ²	l a ²
t ɛ̠ ²	t e ²
ɲ j a ŋ ¹	ŋ j a̠ ¹
ɣ a ŋ ²	ɣ a ŋ ²
d a ²	d a ²
b ɛ ³	b j e̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
z i̠ ³	z i ³
n i ²	n i ²
m a ¹	m o ²
m a ³	m a ³
m a ³	m a ²
z ɛ ²	s u ¹
k a ŋ ¹	x a ŋ ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
g ɛ ²	s y ²
kʰ o̠ ³	kʰ o̠ ³
a ¹	a ¹
s i ³	s i ³
dz a ¹	dz i̠ ¹
t i̠ ²	t e ²
ɣ ɨ ¹	ɣ ɨ ¹
ˀn a ¹	ˀn a ¹
k o̠ ³	k o̠ ¹
k a ²	k a ŋ ²
e ²	e ²
a ¹	a ¹
ˀm o ¹	ˀm j e̠ ¹
m o ²	m o ²
tʃʰ i ³	tʃʰ i̠ ³
l u ³	l u ³
s a ³	h a ¹
tʰ u ²	tʰ u ²
ˀm o ²	ˀm i ¹
ˀn a ²	ˀn a ²
m a ³	m a ³
n a ŋ ¹	n a ¹
d u ³	d u ¹
ts e ¹	tʃ e ¹
s a ²	s a ²
tʃʰ a ³	tʃʰ e̠ ³
s i̠ ¹	s i̠ ¹
pʰ ɛ ¹	pʰ e̠ ¹
a ¹	a ¹
ˀn y ¹	ˀn y ¹
p a ¹	p a ¹
dz e ¹	dz e ¹
pʰ y ²	pʰ j y ²
ʃ ɛ ¹	ʃ ɛ ¹
k ɛ̠ ²	k a̠ ³
g j ɛ ¹	g ɛ̠ ¹
m ²	m u ²
kʰ i ²	kʰ ɨ ²
m a ŋ ²	m a ŋ ²
ɲ u ¹	n u ²
ˀl i ¹	ˀl i ¹
ˀm e̠ ¹	ˀm j e̠ ¹
n y ¹	n y ¹
l o̠ ³	l o̠ ³
t i ¹	t i ¹
l u ²	l u ²
m ²	m̩ ²
ˀm a ²	ˀm a ²
a ¹	a ¹
l y ²	l y ²
ɲ j u ²	ɲ a ²
l e̠ ³	l e̠ ³
k j o̠ ³	k o̠ ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
m i̠ ¹	m i̠ ¹
m ²	m̩ ²
l y ¹	l y ¹
t u ¹	t u ¹
p a̠ ³	p a̠ ³
kʰ ɨ ²	kʰ ɨ̠ ¹
tʃ a̠ ³	tʃ a̠ ³
m o̠ ³	m o̠ ³
tʃ ɛ̠ ³	tʃ ɛ̠ ³
ɲ i ²	ŋ i ²
tʰ y ³	tʰ y ¹
d e ¹	d e ¹
b e̠ ¹	b e̠ ¹
m i ²	m o ²
b a ŋ ¹	p ɨ̠ ¹
a ¹	a ¹
m a ³	m a ³
tsʰ a ¹	tsʰ a ¹
m ²	m o ²
n e̠ ²	ˀn e̠ ³
tʃ ɛ ³	tʃ ɛ̠ ³
d ɛ ²	d ɛ ²
k u ²	k u ²
t a ¹	t a ⁵⁵
tʰ a ²	tʰ a ²
kʰ u ¹	kʰ u ¹
dʒ i ¹	dʒ i ¹
kʰ ɛ ¹	kʰ ɛ ¹
ˀl a ŋ ²	l o̠ ³
s j a ŋ ¹	s y ¹
x u ³	x i ¹
n i ¹	n i ¹
g a ¹	g j a ¹
k a ŋ ³	ɣ o ²
n i ²	n̩ ²
s a ²	s u ¹
n i ²	n̩ ²
f u ³	f u ³
k a ¹	k a̠ ³
n j ɛ ¹	ɲ e ¹
t e ²	dʒ e ¹
n i ²	n̩ ²
tʰ u ²	tʰ u ³
m a ŋ ²	m a ŋ ²
