p j ɔ ¹	p r ɔ ¹
q j ɯ ²	ɣ ɯ̃ ²
b r e ¹	p e ¹
j o ²	n j o ²
g ɔ ¹	g ɔ ¹
ɕ j e n ¹	sʰ j e n ¹
j æ ³	b j o ²
tɕʰ j æ n ¹	tsʰ j æ n ¹
d o ŋ ¹	d o ŋ ¹
j o ⁵	j ɔ ⁵
j ɯ ¹	j ɯ ¹
ɕ i ²	s j i ²
m æ ¹	m æ ¹
s r æ ²	s r e ŋ ²
χ ɯ ²	χ ɯ̃ ²
tɕ j e n ⁴	ts j e n ⁵
t æ n ¹	t æ ¹
tɕ i ¹	tɕ i ¹
ʈ o ŋ ¹	d r o ŋ ¹
tʰ u ²	tʰ j u ²
tʰ r o ŋ ¹	tʰ r o ŋ ¹
ts i ²	ts i ²
k ɯ ¹	k ɯ ¹
j o ⁴	j ɔ ⁴
t æ ⁴	t æ ŋ ⁴
ɕ j i ²	ɕ w i ²
ɖʐ i ²	ɖʐ i ²
ŋ ɯ ¹	ŋ ɯ ¹
k w a ⁴	k w a ⁴
j i ³	j i ³
sʰ j e n ⁵	s e n ⁵
? o ⁴	ʔ o ⁴
s ɔ ²	s u ŋ ²
s r r ɔ ⁴	s r o ⁴
n o ¹	n o ŋ ³
j e n ¹	j e n ¹
g o r ³	g o ŋ ³
tʰ æ ⁴	tʰ r æ ⁴
ʁ ɯ ⁴	ʁ ɯ ⁴
s i ²	s i ²
m ɛ ¹	m ɛ ¹
p ɛ ²	p ɛ ²
b i ³	b r i ³
g ɯ ³	g ɯ̃ ³
b o ¹	p j e ¹
tɕ i ⁴	ts j i ⁴
