p u ²	p ɯ ²
m r æ n ¹	m j æ ¹
t w i ⁵	d w ɛ ⁵
tʰ r a ⁴	tʰ a ⁴
ts w i ⁴	ts w ɛ ⁴
pʰ j æ ¹	pʰ r æ ¹
qʰ r u ²	qʰ u ²
b o ⁴	p j u ⁴
d j o ⁴	ɖʐ o ⁴
ŋ ɯ ¹	ŋ ɯ ¹
m i ¹	m i ¹
m e ¹	m e ¹
pʰ j a ⁴	pʰ r a ⁴
ŋ o ŋ ²	ŋ u ²
d ɔ ¹	d ɔ ¹
b i ⁴	p r i ⁴
q w a ⁴	ɣ w a ⁴
ɣ ɯ ²	ɣ ɯ ²
s u ³	sʰ ɔ ³
k w a ⁴	k w a ⁴
m æ ¹	m æ ¹
p r a ŋ ⁵	b a ŋ ⁴
p j e n ⁵	p r e n ⁵
tʰ r æ n ¹	tʰ æ n ¹
q w ɛ ⁵	q w ɛ ³
m r æ n ¹	m j æ ¹
ts u ⁴	dz o ⁴
b i ³	pʰ j ɛ ³
ts i ²	ts r i ²
tsʰ u ³	tsʰ u ³
k r o ŋ ¹	ɣ o ŋ ¹
m ɯ ²	m ɯ ²
ɕ r i ²	ɕ w i ²
n j e n ¹	z e n ¹
m ɯ ³	m ɯ ⁵
ɣ æ ⁴	ɣ æ ⁴
d j æ ŋ ¹	d r æ n ¹
d i ⁴	ɖʐ i ⁴
ts r o ŋ ¹	ts u ŋ ¹
t w e n ²	t w e n ²
s r r ɔ ²	s r o ⁴
k o ŋ ¹	k o ŋ ¹
qʰ o ŋ ¹	qʰ o ŋ ¹
n ɛ ¹	n ɛ ¹
d ø ŋ ²	d j o ŋ ²
tʰ e ⁴	tʰ e ⁴
