q w ɛ ⁵	q w ɛ ³
tsʰ j a ⁴	tsʰ w a ⁴
tʰ r o ŋ ¹	tʰ r o ŋ ¹
b i ³	b r i ³
ʈ j o ¹	d r o ŋ ¹
n e ⁴	n j i ⁴
d r ɯ ³	d ɯ ⁵
tʰ o ŋ ⁴	tʰ ɯ̃ ⁴
dʑ i ³	d i ³
ts o ⁴	ts o ⁴
qʰ w æ ³	qʰ w æ ³
s r e ¹	s r e ŋ ¹
sʰ r ɯ ²	sʰ r ɯ ²
ts o ⁵	ts o ⁵
q w a ⁴	q w a ⁴
tʲ w a ⁴	d w a ⁴
m e ¹	m e ¹
ts j o ŋ ¹	ts u ŋ ¹
b r i ²	b r i ²
tʰ r r æ ⁴	tʰ r æ ⁴
d w ɛ ⁴	d w ɛ ⁵
ts w ɛ ⁴	ts w ɛ ⁴
ʈ r ɯ ²	ʈ ɯ ²
m e ²	m ə ²
q a ŋ ¹	q a ŋ ¹
s r e ¹	s r e ŋ ¹
x w ɯ ²	x w i ²
d r ɯ ²	d r ɯ ²
q ɛ ¹	q ɛ ¹
tsʰ ɯ ³	tsʰ ɯ ³
p r e n ¹	p r e n ¹
ts o ŋ ²	ts u ŋ ²
s j e n ⁵	s e n ⁵
sʰ a ŋ ¹	sʰ a ŋ ¹
s w a ⁴	s w a ⁴
q æ ŋ ¹	q æ n ¹
l ɔ ¹	l a ¹
t ɛ	t ɛ ⁴
b j ɛ ⁴	b j ɛ ⁴
ts i ²	ts i ²
t w e n ¹	t w e n ¹
s r u ¹	s r u ¹
ɣ ɯ ²	ɣ ɯ ²
m æ ²	m æ ²
tsʰ r o ŋ ²	tsʰ r e n ²
pʰ a ¹	pʰ r æ ¹
ts u ŋ ¹	ts u ŋ ¹
