k ə ¹¹	k ə ⁰
l e ¹¹	l e ¹¹
g o ¹¹	g o ¹¹
d o ¹¹	d o ¹¹
l ei ⁵⁵	l ei ⁵⁵
k l a ⁵⁵	k l a ⁵⁵
ˀb ɴ a ¹¹	p j a ¹¹
k r ei ¹¹	kʰ r ei ¹¹
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
kʰ a ⁵⁵	kʰ a ɴ ⁵⁵
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
s a ɴ ⁵⁵	s a ɴ ⁵⁵
tʰ r o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
ˀb ɔ ⁵⁵	ˀb ɔ ɴ ⁵⁵
b ə ¹¹	p ə ⁰
m a ⁵⁵	m a ⁵⁵
ˀb a ¹¹	ˀb a ¹¹
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
w i ⁵⁵	w i ⁵⁵
w e ⁵⁵	w ɛi ⁵⁵
l a ŋ ⁵⁵	l a ŋ ⁵⁵
b l a ¹¹	b l a ¹¹
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
ŋ j a ⁵⁵	r j a ⁵⁵
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
l w i ¹¹	l w i ¹¹
m ei ⁵⁵	m̥ ei ⁵⁵
d ɨ m ⁵⁵	d ɨ m ⁵⁵
d ə ʔ̚ ⁰	t ə ʔ̚ ⁰
tʰ u ⁵⁵	tʰ u ⁵⁵
d e ɴ ⁵⁵	d e ɴ ⁵⁵
r̥ o ŋ ¹¹	r o ŋ ¹¹
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
l w i ⁵⁵	l̥ w i t̚ ⁵⁵
ɴ w i ¹¹	ŋ w i ¹¹
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
