cʰ u m ⁵⁵	cʰ u ɴ ⁵⁵
m e ¹¹	m e ¹¹
l i m ¹¹	l i n ¹¹
k ə ⁵⁵	k ə ⁰
tʰ r o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
cʰ ou ¹¹	cʰ r ou ¹¹
pʰ r u ⁵⁵	p r u ⁵⁵
l i ¹¹	l̥ i ¹¹
ʔ ɛ ŋ ¹¹	ʔ ɛ ɴ ¹¹
m a ⁵⁵	m a ⁵⁵
k ə ʔ̚ ⁰	k ə ⁰
l ei ⁵⁵	l ei ⁵⁵
d ə ¹¹	d ə ¹¹
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
n w ɛ ¹¹	n̥ w ɛ ¹¹
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
d ə ¹¹	d ə ŋ ⁵⁵
m ə ¹¹	m ə ¹¹
ˀd ə ɴ ⁵⁵	ˀd ə ⁵⁵
ˀb w a ⁵⁵	ˀb w w a ⁵⁵
s u ⁰	s u ⁵⁵
tʰ ei ⁵⁵	tʰ ei ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
l w ɛ ⁵⁵	l w ɛ ⁵⁵
k l a ⁵⁵	k l a ⁵⁵
k ə ʔ ⁵¹	k ə ʔ̚ ⁵¹
s ei ¹¹	s ei ¹¹
l ɛ m ¹¹	l̥ ɛ m ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
tʰ au ⁵⁵	tʰ au ⁵⁵
kʰ l e ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
l o ŋ ¹¹	l o ŋ ¹¹
n ɔ ʔ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
d o ¹¹	d o ¹¹
ʔ ɔ ŋ ⁵⁵	ʔ ɔ ⁵⁵
p l o m ¹¹	p l o m ¹¹
