tʰ u ŋ ²	tʰ u ²
d j æ ³	b j o ²
tʰ r e ⁴	tʰ j e ⁴
m æ ¹	m æ ¹
ɣ j a ⁴	tsʰ w a ⁴
ɣ o ⁴	ɣ u ⁴
j o ŋ ²	n j o ²
qʰ ɔ ¹	qʰ ɔ ¹
ʈ r o ⁴	d r o ⁴
q w a ⁴	q w a ⁴
tsʰ w a n ²	tsʰ w a ŋ ²
q ɔ ¹	ɣ ɔ ¹
ts j j æ n ¹	tɕ æ ŋ ¹
q u ²	ɣ u ŋ ²
k o ŋ ²	k o ŋ ²
tɕʰ i ³	tsʰ e ³
tɕ e n ²	ɖʐ e n ²
x e n ¹	x e n ¹
kʰ o ¹	qʰ o ŋ ¹
m ɛ ¹	m ɛ ¹
tɕʰ i ¹	tsʰ j i ¹
p j e n ⁵	p r e n ⁵
tɕʰ j æ n ¹	tsʰ j æ n ¹
j æ ⁵	b j o ²
h ɯ ¹	w u ⁴
s i ²	s r i ²
tɕʰ i ⁴	tsʰ j i ⁴
ɣ ɯ ³	ɣ ɯ ³
tʰ u ²	tʰ j u ²
l ɔ ¹	l ɔ ¹
k w a ⁴	k w a ⁴
ɣ ɯ ²	ɣ ɯ ²
qʰ ɛ n ¹	qʰ e n ¹
b u ²	b ɯ ²
sʰ o ⁴	s ɔ ⁴
ts i ¹	ts r e ŋ ¹
s r r ɯ ²	sʰ r ɯ ²
b ɔ ³	b ɔ ³
t w e n ¹	t w e n ¹
p j a ⁴	b r æ ⁴
ʈ o ²	ts r ɔ ²
q ɯ ¹	q ɯ ¹
d o ¹	ɖʐ o ¹
d ø ŋ ²	d j o ŋ ²
ɣ w a ⁴	ɣ w a ⁴
ʈ w e n ⁵	ɖʐ w e n ⁵
