ˀl u ³	l u ³
g u ²	g u ³
tsʰ ɛ ¹	tsʰ ɛ ³
ˀv a ¹	ˀv a ¹
k j e ²	k j ɛ ²
pʰ ɛ ²	b ɛ ²
p o ²	p y̠ ¹
d u ²	d u ²
ˀl o̠ ¹	ˀl o̠ ¹
tsʰ u ¹	tsʰ u ¹
m a ²	m ɛ ²
dz i ¹	dz i ¹
tʃʰ ɨ ²	tʃʰ ɨ ²
k i ¹	k ɨ ¹
tʃ i ²	tʰ i ²
k i ¹	k i ¹
m o̠ ³	m o̠ ³
pʰ a ŋ ²	pʰ j a ŋ ²
m̩ ²	m u ²
kʰ a ¹	kʰ a ¹
ɲ a ŋ ²	ɲ a ¹
tʃ a̠ ³	tʃ a̠ ³
n̩ ²	n̩ ²
l a ²	l a ²
dz i ²	dʒ e ³
kʰ u ¹	kʰ u ¹
a ¹	a ¹
ŋ a ²	ŋ a ²
l o̠ ³	l o̠ ³
pʰ i̠ ²	pʰ e ²
d y ¹	d y ²
b ɛ̠ ¹	b ɛ̠ ¹
k j e̠ ³	tʃ e̠ ³
b o̠ ¹	b o̠ ¹
g ɨ ¹	g ɨ ¹
a ²	a ²
k a ²	k a ŋ ²
m j a ¹	m j a ŋ ¹
tsʰ i ²	d i ²
ʒ a ¹	k a ²
ɣ i̠ ³	ɣ i̠ ³
d u ²	d u ²
ʃ o̠ ¹	ʃ o̠ ¹
dz e̠ ²	dʒ ɛ ²
ɨ̠ ³	a ²
ˀn i ¹	n i ¹
a ¹	a ¹
l y̠ ³	ˀl y̠ ³
dʒ a ŋ ²	dz a ŋ ²
k o̠ ¹	k a ŋ ¹
f ɛ ³	f ɛ ³
ɣ e ²	ɣ ɛ ²
m u ²	m j u ²
dz a ²	dz a ¹
a̠ ¹	a ¹
d ɛ ²	t e̠ ³
ɣ a ¹	g a ¹
ɣ i ¹	ɣ i ¹
g j ɛ ²	kʰ u ²
n̩ ²	n i ²
t e ²	t e ²
n̩ ²	n u ²
l i ¹	ˀl i ³
m y ¹	m y ¹
ˀl a ŋ ¹	l a ŋ ¹
b e̠ ¹	b e̠ ¹
tʃʰ y ¹	tsʰ y ¹
ts e ³	ts ɛ ³
m̩ ²	m̩ ²
d a ¹	d a ¹
p a̠ ³	p ɛ ¹
dz e ¹	dz e ¹
g u ²	g j u ²
x a̠ ³	x a̠ ³
b y ³	b y̠ ³
ˀl o̠ ¹	ˀl o̠ ¹
dz ɨ ¹	d u ¹
k e ²	s e ¹
ˀm e ²	ˀm ɛ ²
g i ²	g i ²
ʒ e ³³	tʰ u ³
ˀl a ²	ˀl a ²
x a̠ ³	x a̠ ³
dz e ¹	dz e ¹
k a̠ ³	k a̠ ³
p e ¹	p e ¹
ˀn y ²	n e̠ ³
ˀn a ¹	ˀn a ¹
b i ¹	b ɨ̠ ¹
b a ³	b a ³
ʃ ɛ ¹	ʃ ɛ ¹
a ²	a ¹
a ²	a ²
dz y ²	dz y ²
k e ²	k j ɛ ²
ʃ a̠ ³	ʃ a̠ ³
x e̠ ¹	x e̠ ³
h a ¹	h a ¹
kʰ ɛ ²	kʰ j ɛ ²
ˀn i ²	ŋ i ²
m u ³	m u ³
p a̠ ³	p a̠ ³
pʰ a ²	pʰ u ¹
ʒ a ²	ɣ o ²
t ɛ̠ ³	t a ³
kʰ y ¹	kʰ y ¹
n̩ ²	n̩ ²
n a ²	n a ²
n i ²	n i ²
tsʰ a ¹	tsʰ a ¹
b y ¹	b y ¹
z a̠ ²	z a ²
t ɛ ¹	t ɛ ¹
g a ¹	g a ¹
ɣ i ¹	ɣ i ¹
tʰ u ¹	tʰ u ¹
n i̠ ¹	n i̠ ¹
n a ¹	n a ¹
ʃ a ³	ʃ a ³
s a̠ ³	ʃ a̠ ³
ɣ i ¹	ɣ ɨ ¹
tsʰ i ³	tsʰ i̠ ³
tʃ e̠ ³	ts e̠ ³
p a̠ ³	p a̠ ³
