ɲ u ³	n u ²
a ¹	a ¹
g u ¹	g o ŋ ¹
kʰ a ŋ ¹	kʰ j y ¹
tʃ a ³	tʃ a̠ ³
p a ŋ ¹	p ɨ̠ ¹
a ¹	a ¹
l a ²	l a ²
l e̠ ³	l e̠ ³
g i ¹	g i ¹
l u ¹	l y ¹
x i ¹	x e ¹
m a ŋ ²	m a ŋ ²
n i ¹	n i ¹
tsʰ a ¹	tsʰ ɛ̠ ¹
dz e ²	dz e ²
s u ¹	s i ³
k e ²	k j o ²
ʃ i ¹	ʃ i̠ ¹
m j a ²	m j y ²
t i ¹	t i ¹
m a ²	m a ²
ts e ²	ts e ²
x a̠ ³	x a̠ ³
g i ¹	s i ¹
z a ²	z a ²
tʰ o ¹	tʰ u ³
pʰ i ²	p i ²
s o ¹	h a ¹
z e̠ ³	z e̠ ³
m a ³	m a ³
g u ³	g o ŋ ³
s a ²	s a ²
pʰ i̠ ³	pʰ i̠ ³
s e̠ ¹	s o̠ ³
tsʰ i ³	tsʰ i̠ ¹
s y ²	ʃ y ²
tsʰ y ¹	tsʰ a m ¹
p a̠ ¹	p a̠ ³
b o ¹	b o ¹
m a ³	m a ³
v e̠ ³	v e̠ ³
m ɨ ¹	m ɨ ¹
tʃ a ¹	tʃ a ¹
m ŋ ²	m o ²
l y ¹	l y ¹
ˀm e̠ ³	ˀm e̠ ¹
m e ³	ˀm u ²
s i ¹	s i̠ ¹
a ¹	a ¹
p a ¹	v u ¹
tsʰ y ¹	tsʰ y̠ ¹
m i ¹	m i ¹
ʃ ɛ ¹	ʃ ɛ ¹
ɣ ɛ ¹	ɣ ɛ ¹
ʃ a ³	ʃ a̠ ³
ˀl i ¹	ˀl i ¹
ɨ ³	ɨ̠ ¹
g j e ³	dʒ e ¹
ʃ i ²	ʃ ɨ ²
h i̠ ³	h e̠ ³
pʰ ɨ ²	pʰ ɨ ²
pʰ u ¹	pʰ u ¹
g j ɨ ¹	g j o ¹
kʰ ɛ̠ ³	kʰ ɛ̠ ³
dʒ i ¹	dʒ i ¹
a ²	a ¹
t a ŋ ¹	t a ŋ ¹
k a ²	k a ŋ ²
kʰ i ²	kʰ i ²
ˀv e̠ ³	v e ³
pʰ u ¹	pʰ e̠ ¹
b y̠ ³	b y̠ ³
v e̠ ³	v e̠ ³
n a ²	n a ²
v ¹	v u ¹
s a ²	tsʰ i ²
n i ²	n i ²
k a ¹	k a ¹
kʰ i ¹	kʰ i ¹
ˀm e̠ ¹	ˀm j e̠ ¹
kʰ i ¹	kʰ i ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
k o ³	k o ¹
ʃ a ¹	ʃ a ¹
dʒ a ¹	dʒ e̠ ¹
kʰ u ¹	kʰ u ¹
kʰ j ɛ ³	kʰ a ³
ˀm e̠ ¹	ˀm j e̠ ¹
v a ³	v a ³
ts a ¹	ts a ¹
ʒ u ¹	ʒ o̠ ¹
l i ²	ˀl i ²
tʰ a ²	tʰ a ²
p ɛ ¹	pʰ e̠ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
t y ¹	t y ¹
dz u ³	dz ɿ ³
ˀm o ¹	ˀm j e̠ ¹
kʰ o̠ ³	kʰ o̠ ³
ts u ³	tʃ ɛ̠ ³
t ɛ̠ ²	t a̠ ³
k a ¹	k a ²
s y ¹	s y ¹
h e ¹	h e ¹
d e ¹	d e ¹
pʰ u ²	pʰ u ²
t e̠ ¹	t i̠ ¹
pʰ e̠ ¹	pʰ e̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
tsʰ y ¹	tsʰ y ¹
p o ²	p y̠ ¹
l ɛ̠ ³	l e̠ ³
k a ³	k a ŋ ²
k o̠ ²	k u ²
j a ŋ ³	j a ŋ ²
pʰ ɛ ³	pʰ ɛ ³
h e ¹	h e ¹
t o̠ ³	t o̠ ³
k a ŋ ³	k o ³
p y ²	p y ²
dz a ¹	dz i̠ ¹
s e ¹	s e ¹
ʒ e̠ ³	ʒ e̠ ³
ɣ a ŋ ¹	ʃ u ³
