ʔ ɔ ŋ ¹¹	ʔ ɔ ɴ ¹¹
k a ʔ̚ ⁰	k ə ʔ̚ ⁰
ʔ ɔ ⁵⁵	ʔ ɔ ⁵⁵
cʰ a ⁵⁵	cʰ a ⁵⁵
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
s ə m ⁵⁵	s ə m ⁵⁵
l a ⁵⁵	l a ⁵⁵
tʰ w a ⁵⁵	tʰ w ɛ ⁵⁵
l o ŋ ¹¹	l o ŋ ¹¹
t ou ¹¹	h ou ¹¹
s ə ⁰	s ə ⁰
ˀb i ¹¹	ˀb i ¹¹
j a m ¹¹	j a m ¹¹
k r e ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
kʰ w i ¹¹	kʰ w i ¹¹
r ou ¹¹	r ou ¹¹
kʰ e ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
kʰ a ⁵⁵	kʰ a ɴ ⁵⁵
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
s r e ⁵⁵	s r e ³³
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
kʰ i ¹¹	ɟ i ¹¹
cʰ e ŋ ⁵⁵	cʰ ə ŋ ⁵⁵
k ə ¹¹	k ə ⁰
n w a ¹¹	n̥ w ɛ ¹¹
l u ⁵⁵	l u ⁵⁵
cʰ ɨ m ⁵⁵	cʰ ɨ m ⁵⁵
s w a ¹¹	s w w a ¹¹
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
l ei ⁵⁵	l ei ⁵⁵
l o ⁵⁵	l̥ o ⁵⁵
cʰ i ŋ ¹¹	ɟ i m ¹¹
s r ei ¹¹	s r ei ¹¹
kʰ u ¹¹	kʰ u ¹¹
m a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
