t o̠ ³	d o̠ ³
b ɛ ²	b o ¹
ˀm ɛ ¹	ˀm ɛ ¹
kʰ e̠ ¹	kʰ e̠ ¹
d a ¹	d a ŋ ¹
b e̠ ²	b y ²
s a ¹	s a ¹
x a ¹	x a ¹
b a ²	b o ³
l ɛ̠ ³	l e̠ ¹
kʰ o̠ ³	kʰ o̠ ³
kʰ i ¹	kʰ i ¹
ʃ ɛ ¹	s e ¹
pʰ u ³	pʰ u ¹
l a ²	l a ²
a ²	a ¹
x i ³	x i ¹
v ɛ̠ ³	v ɛ̠ ³
tʃ e ¹	ts e ¹
x i̠ ³	x ɨ̠ ³
tsʰ e ¹	tsʰ e ¹
g u ³	g o ŋ ³
ɲ i ³	n u ²
p a ¹	p a ¹
z a ¹	s u ¹
n y ¹	ˀn y ¹
a ¹	a ²
l o̠ ¹	l u̠ ¹
h a ŋ ²	h a ŋ ²
m a ²	m a ²
a ²	a ²
k u ¹	k u ¹
t a ŋ ¹	t a ŋ ¹
n e ¹	n e ¹
k a ŋ ¹	x a ŋ ¹
s j a ŋ ¹	s y ¹
pʰ ɨ ²	pʰ ɨ ²
ts a ŋ ²	ts u ²
kʰ a ¹	kʰ a ¹
a ¹	a ¹
tʰ u ¹	tʰ e̠ ¹
l ɛ̠ ²	l e̠ ³
t u ²	t u ²
n i̠ ¹	n i̠ ¹
s ɛ ²	h a ¹
pʰ j i ²	b a ²
k u ³	k j o ²
dʒ a ¹	dʒ e̠ ¹
b ɛ ²	b ɛ ²
a ¹	a ¹
m i ²	m ɨ ²
b i ²	b i ²
kʰ u ¹	kʰ u ¹
s e ¹	s e ¹
b e̠ ¹	b e̠ ¹
k ɛ ¹	k ɛ ³
ʃ y ²	s y ²
t u ¹	tʃʰ ɛ ²
? ¹	e̠ ¹
ts i ¹	ts i ¹
v a ²	v a ²
tʃ ɛ̠ ³	tʃ ɛ̠ ³
tʰ ɛ ³	tʰ ɛ ³
a ¹	a ¹
tsʰ y ³	tsʰ y̠ ¹
ˀn o̠ ³	ˀn u̠ ³
ɣ u ¹	ɣ o ³
ɣ i ¹	ɣ i ¹
g j e̠ ¹	g j e̠ ¹
d y ²	d y ²
tʰ u ¹	tʰ u ³
h ɛ ¹	h ɛ̠ ¹
tsʰ e ¹	k i ¹
tʰ a ²	tʰ a ²
ˀl a ŋ ¹	l a ŋ ¹
h e̠ ³	h e̠ ³
v i̠ ³	v i̠ ³
ŋ a ¹	ˀŋ y ¹
p ɨ ²	p j ɨ ²
ˀm i ³	ˀm i ³
kʰ i ²	kʰ i ²
m e̠ ¹	m e̠ ³
p a̠ ³	p a̠ ³
m ɛ ²	m ɛ ²
p y ²	p y ²
t a ³	t a ³
a ¹	a ¹
ʒ e̠ ¹	ɣ e̠ ¹
i ²	i ²
x i ¹	x ɨ ¹
m a ²	m a ŋ ²
s i ¹	s i̠ ¹
ŋ a ¹	ŋ a ¹
kʰ ɨ ²	kʰ ɨ ²
n i ²	n̩ ²
g j y ²	kʰ y ¹
n i ²	n i ²
a ²	a ²
tsʰ a ¹	tsʰ a ¹
l e̠ ³	l e̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
tʃʰ i ²	tʃʰ i ²
b a ¹	p e ¹
ɣ ɛ ¹	ɣ ɛ ¹
m ɛ̠ ²	m ɛ ²
k u ¹	k u ²
tsʰ ɨ ²	tʃʰ ɨ ²
tʃ u ³	tʃ ɛ̠ ³
kʰ u ²	kʰ u ²
a ²	a ²
n i ¹	n i ¹
s i̠ ¹	s i̠ ¹
ˀm e̠ ³	ˀm j e̠ ¹
v ɛ ¹	v ɛ ¹
x i ³	x ɨ̠ ³
k ɛ ¹	k j ɛ ¹
ˀl y ³	ˀl y ³
a ²	a ²
ˀm ɛ ¹	ˀm ɛ ¹
kʰ ɨ ¹	kʰ i ¹
k u ³	ɣ o ³
n ɛ ¹	ɲ e ¹
ʒ u ¹	ɣ ɛ ¹
b ɛ̠ ³	p ɛ̠ ¹
l i ³	ˀl u̠ ¹
