tʰ r æ	tʰ j æ ⁴
ɣ ɯ ²	ɣ ɯ ²
m ø ²	m o ²
p j ɛ ³	pʰ j ɛ ³
d r æ ŋ ¹	d r æ n ¹
k o ⁵	k o ⁵
qʰ w æ ¹	qʰ w æ ¹
d ɔ ⁵	d ɔ ⁵
tʰ u ²	tʰ r u ²
p j o ⁵	p j o ⁵
tsʰ o ⁴	tsʰ o ⁴
h a ŋ ⁵	h a ŋ ⁵
qʰ o ¹	qʰ u ¹
qʰ w i ²	kʰ w ɛ ²
p ø ¹	p j o ²
ɣ ɔ ¹	ɣ ɔ ¹
tsʰ r e ¹	tsʰ r e ŋ ¹
b a ⁴	b a ⁴
m e ¹	m e ¹
tʰ u ¹	tʰ r u ¹
ɯ ²	ɯ̃ ²
sʰ a ŋ ¹	sʰ a ŋ ¹
s r ɯ ²	sʰ r ɯ ²
sʰ w a ⁴	sʰ w a ⁴
q æ ⁴	q æ ⁴
sʰ r ɯ ²	sʰ r ɯ ²
sʰ r æ ⁴	sʰ r æ ⁴
m ɯ ³	m ɯ ⁵
qʰ w æ ³	qʰ w æ ³
ts i ²	ts i ²
tɕ i ¹	tɕ i ¹
s ɔ ²	s ɔ ²
kʰ o ŋ ¹	kʰ u ŋ ¹
m ɛ ⁵	m ɛ ⁵
pʰ e ¹	pʰ e ¹
b u ¹	p r i ¹
k a ŋ ¹	k a ŋ ¹
ɣ u ⁴	ɣ o ⁴
ɣ a	ɣ æ ¹
m ɔ ⁴	m ɯ ⁴
ɕ r i ²	ɕ w i ²
j a ⁴	j a ⁴
d r ɯ ³	d r ɯ ³
pʰ ɔ ³	pʰ ɔ ³
qʰ r u ²	qʰ u ²
g ɯ ¹	g ɯ ¹
s o ²	s u ŋ ²
