pʰ j ɛ̠ ³	b j a̠ ³
n a ²	n a ²
m i ²	m ɨ ²
tʃ a ŋ ¹	tʃ ɛ ¹
kʰ i̠ ¹	kʰ e̠ ¹
k o ¹	k j o ¹
v a ³	v a ³
kʰ o̠ ²	kʰ j o ²
k o̠ ³	k o̠ ³
ʃ a ŋ ¹	ʃ u ³
d e ¹	d e ³
kʰ a ²	kʰ a ²
dz e ²	dz i ²
k e ²	k j ɛ ²
l a ¹	l a ¹
s e ¹	s i̠ ¹
dz e ²	dz i ²
a ¹	a ¹
tʃ a ³	tʃ a̠ ³
ˀv a ¹	ˀv a ¹
b e ³³	b e ³
t a ⁵⁵	t a ⁵⁵
kʰ j i̠ ²	kʰ j i ²
ˀm ɛ ²	m ɛ ²
k o ³	k o̠ ¹
m a ³	m o ²
m i ¹	ˀm i ¹
ts e ³	ts i̠ ³
tsʰ o̠ ¹	tsʰ o̠ ¹
d o ¹	d i ¹
b j o ³	b u̠ ¹
h e̠ ¹	x e̠ ³
s ɛ ²	s ɛ ²
z a ²	z a ²
p a ¹	p a ¹
tsʰ ɨ ¹	tsʰ y̠ ¹
a ¹	a ¹
t e ²	t e ²
ˀn i ²	n i ¹
dz e ¹	dz e ¹
a ¹	a ¹
dʒ u ¹	dʒ u ³
ʒ a ŋ ¹	ʒ a ŋ ¹
a ²	a ²
kʰ i ¹	kʰ i ¹
tʰ a ²	d a ²
pʰ ɨ ²	pʰ y ²
l y ¹	l y ¹
ˀŋ j a ¹	ŋ j a̠ ¹
kʰ o̠ ³	kʰ o̠ ³
k j ɛ ²	k j ɛ ²
s ɛ ²	s ɛ ²
m y ²	m u ²
ˀŋ a ²	ɲ a ²
k o̠ ³	g o̠ ³
ʒ i ¹	ʒ e ¹
kʰ i ¹	kʰ i ¹
m o ²	m o ²
ʃ i̠ ¹	ʃ i ¹
b j ɛ̠ ²	b e ²
k u ¹	k u ²
dʒ i ²	dz i ²
ˀm ɛ ³	ˀm ɛ ²
ˀn e ²	n i ²
ɣ i ¹	ɣ ɨ ¹
s e̠ ¹	s a ¹
ɣ i ¹	ɣ i ¹
kʰ a ³	kʰ a ³
b y ¹	b y ¹
kʰ i ¹	kʰ i ¹
ts a ²	dz a ŋ ²
dz j a ²	b a ²
tʰ a ²	tʰ a ²
ˀl o̠ ³	ˀl o̠ ¹
ʃ e̠ ³	ʃ e̠ ³
s y ²	s y ²
t a ³	d a ²
z a ²	z a ²
x a̠ ³	x a̠ ³
v ɛ̠ ³	v ɛ̠ ³
m o ³	m o ¹
d a ¹	d a ¹
d i ²	t i ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
b o ²	b a ²
h a ¹	ˀx a ¹
ɣ a ŋ ²	ɣ a ŋ ²
a ¹	a ¹
v u ²	v y ²
n u ³	ɲ a ¹
tʃʰ ɨ ²	tʃʰ ɨ ²
ˀv a ¹	ˀv a ¹
d i ²	d i ²
l y ²	l y ²
k j e̠ ³	tʃ e̠ ³
ˀl o̠ ¹	ˀl o̠ ¹
s i̠ ¹	s i̠ ¹
a ¹	a ¹
pʰ i ²	pʰ i ²
t i ³	t i̠ ³
h e ³	h e̠ ³
ˀx ɛ ²	x ɛ ²
pʰ y ²	pʰ y ²
b o ²	b a ²
x i ³	x ɨ̠ ³
k a̠ ³	k a ŋ ²
b j o ³	ʃ i ³
ɣ a ¹	ɣ a ³
dʒ ɛ ²	dʒ ɛ ²
g j a ¹	g j a ¹
s i ³	s i ³
tʰ u ¹	tʰ u ¹
tʃʰ i̠ ²	tʃʰ i ²
d u ²	d u ²
ˀn i ¹	ˀn i ¹
n e̠ ¹	n e̠ ¹
a ¹	a ²
v e̠ ³	v e̠ ³
ʒ i ³	x i̠ ³
pʰ e ²	pʰ e ¹
m a ³	m a ³
ts e ²	ts e ²
m a ³	m a ³
l e̠ ²	l a ²
