b æ ¹	b æ ŋ ¹
m r i n ¹	m j i ¹
tɕ i ¹	tɕ i ¹
x ɔ ³	h ɔ ³
sʰ r ɯ ²	sʰ r ɯ ²
sʰ w a ⁴	sʰ w a ⁴
ɕ j i ⁴	ɕ i ⁴
tsʰ j j ¹	tsʰ j i ¹
b r u ²	b ɯ ²
ts i ⁴	ts j i ⁴
g ɔ ¹	g ɔ ¹
p r e n ¹	p r e n ¹
ts r i ²	ts r i ²
tʰ r o ŋ ¹	tʰ r o ŋ ¹
q w a ⁴	ɣ w a ⁴
ɕ j u ²	ɕ w i ²
s o ³	sʰ ɔ ³
j o ⁴	j ɔ ⁵
χ ɯ̃ ²	χ ɯ̃ ²
kʰ r ɯ ²	ɣ ɯ̃ ²
d r ɯ ¹	ʈ ɯ ⁴
dʑ æ n ³	dʑ æ n ³
sʰ w a ¹	ɕ w i ²
ŋ r u ŋ ⁴	ŋ j o ŋ ⁴
p r æ ¹	b æ ¹
o ⁴	ɔ ⁴
q ɯ ¹	q ɯ ¹
qʰ o ²	kʰ r o ²
s r i ⁴	s r i ⁴
ɣ o ⁵	ɣ u ⁴
q æ ⁴	q æ ⁴
b r i r ¹	b r i ²
tʰ u ŋ ²	tʰ u ²
b æ n ³	b æ n ³
p j ɛ ³	pʰ j ɛ ³
ŋ w e n ¹	ʁ w e n ¹
g r ɯ ²	ɣ ɯ ²
x e n ¹	x e n ¹
n o ŋ	n o ŋ ³
h a ŋ ⁵	h a ŋ ⁵
ɖʐ u ¹	ɖʐ u ŋ ¹
d ɛ ⁴	d ɛ ⁴
ɣ ɔ ¹	ɣ ɔ ¹
ɣ ɔ ¹	ɣ ɔ ¹
tsʰ j w e n ¹	tsʰ w e n ¹
n j e n ¹	n j e n ¹
tɕ ɯ ²	tɕ ɯ ²
