t w ɛ ⁴	d w ɛ ⁵
g r u ¹	g u ¹
qʰ o ŋ ²	ɣ o ŋ ¹
s r e ŋ ¹	s r e ŋ ¹
ɖʐ w e n ⁵	ɖʐ w e n ⁵
m ɯ ⁴	m ɯ ⁴
s o ²	s u ŋ ²
qʰ ɔ ¹	qʰ ɔ ¹
p u ²	p u ²
s ɛ n ⁵	s e n ⁵
m ɛ ¹	m ɛ ¹
ɖʐ i ⁴	ɖʐ i ⁴
m e ¹	m e ¹
m ɯ ³	m ɯ ⁵
qʰ o ²	kʰ r o ³
tɕ i ⁴	ts j i ⁴
tsʰ w a ŋ ²	tsʰ w a ŋ ²
ʔ w e n ¹	ʔ w e n ¹
d o ŋ ¹	d o ŋ ¹
sʰ a ŋ ¹	sʰ a ŋ ¹
s w a n ¹	s w a ŋ ¹
b ɯ ¹	b r i ¹
b r ɔ ³	b ɔ ³
tɕ i ⁴	ts j i ⁴
ʈ r æ ⁴	ʈ æ ⁴
s j e n ¹	s r e n ¹
tsʰ o ŋ ¹	tsʰ o ŋ ¹
s j i ⁴	s j i ⁴
q æ n ¹	q æ n ¹
ts r w ɛ ⁴	ts w ɛ ⁴
tɕ e n ¹	tɕ e n ¹
n ɛ ¹	n ɛ ¹
p a ⁵	b a ŋ ⁴
d a ⁴	d a ⁴
b a ⁴	b a ⁴
tɕ j e n ⁵	ts j e n ⁵
m ɛ ⁴	m i ¹
m ɛ ¹	m ɛ ¹
s j e n ¹	s j e n ¹
s j a ⁴	ɕ a
ts r o ¹	ts u ŋ ¹
ŋ w e n ¹	ŋ w e n ¹
d ɛ ⁴	d ɛ ⁴
k u ²	k u ²
tʰ e ⁴	tʰ r e ⁴
ɕ r i ²	ɕ w i ²
n j e n ¹	n j e n ¹
