m ø ŋ ²	m ø ²
tɕ e n ¹	tɕ e n ¹
s r r o ⁴	s r o ⁴
tɕ j ɯ ²	tɕ ɯ ²
d o ŋ ²	d j o ŋ ²
ʁ a ŋ ¹	ʁ a ŋ ¹
b o ¹	p j e ¹
s r u ¹	s r u ¹
ɣ o ⁵	ɣ u ⁴
d r ɯ ³	d r ɯ ³
q o ŋ ¹	q o ŋ ¹
ɕ j æ n ¹	s j æ n ¹
ts o ⁴	dz o ⁴
pʰ j æ ¹	pʰ r æ ¹
pʰ e ⁴	pʰ a ¹
ɕ a ⁴	ɕ a ⁴
ŋ o ŋ ²	ŋ u ²
ɣ æ ⁴	ɣ æ ⁴
t w e n ¹	t w e n ¹
? ŋ o ŋ ¹	z r o ŋ ¹
qʰ j u ²	qʰ u ²
qʰ a ⁴	qʰ a ⁴
b e ¹	b e ¹
ɣ ɯ ²	χ ɯ̃ ²
sʰ w a ⁴	sʰ w a ⁴
b ɛ ²	p ɛ ²
m ɛ ⁵	m ɛ ⁵
ts j i ŋ ⁴	ts w ɛ ⁴
ts n u ²	ts u ²
s r r ɯ ²	sʰ r ɯ ²
n ɔ ³	n ɔ ³
qʰ w æ ³	qʰ w æ ³
b r j e n ⁵	p r e n ⁵
b ɯ ³	p u ³
s o ⁴	s ɔ ⁴
ɕ a ⁴	ɕ a
qʰ ɔ ²	qʰ ɔ ²
q a ŋ ¹	q a ŋ ¹
h o ¹	h ɔ ¹
n o ¹	n j o ŋ ¹
s r r æ ⁴	sʰ r æ ⁴
? w æ ⁴	x w a ¹
q ɛ ¹	q ɛ ¹
tɕ a ⁴	dʑ a ⁴
ɣ ɯ ⁴	χ ɯ ⁴
j o ⁵	j ɔ ⁵
