m i ɴ ⁵⁵	ˀm i n ⁵⁵
ˀb ə ¹¹	ˀb ə ¹¹
cʰ a ⁵⁵	cʰ a ⁵⁵
n ɨ ŋ ⁵⁵	n ɨ ŋ ⁵⁵
t a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
k l ɛ ⁵⁵	k l ɛ ⁵⁵
k ə ʔ̚ ⁵¹	k ə ʔ̚ ⁵¹
p l a ¹¹	p l a ⁵⁵
ˀd ə ɴ ⁵⁵	ˀd ə ⁵⁵
p l o ŋ ¹¹	p l o ŋ ¹¹
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
kʰ l ɛ ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
n ei ⁵⁵	n ei ⁵⁵
l ɛ ¹¹	l ɛ ¹¹
kʰ l ei ¹¹	kʰ l ei ¹¹
ŋ r ⁰	t ə ⁰
tʰ au ⁵⁵	tʰ au ⁵⁵
tʰ ə ŋ ¹¹	tʰ ə ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
pʰ e ⁵⁵	pʰ e ⁵⁵
n a ¹¹	n a ¹¹
k i ¹¹	k i ¹¹
n a ¹¹	n a ¹¹
l ɛ ⁵⁵	l w ɛ ⁵⁵
m ɛ ¹¹	m w ɛ ¹¹
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
n ou ʔ̚ ⁵¹	n ə ʔ ⁵¹
t w a n ⁵⁵	ʔ w a ɴ ⁵⁵
k ə ⁰	k ə ⁰
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
m i ⁵⁵	m i ⁵⁵
ʔ̚ w i ¹¹	ʔ w i ¹¹
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
g ə ⁰	g ə ⁰
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
