k a̠ ¹	k o̠ ³
l u ¹	l u ¹
t ɛ̠ ¹	t u ¹
ˀl y ³	ˀl y ³
s i ¹	s i̠ ¹
l ɛ̠ ³	l ɛ̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
p o̠ ³	p o̠ ¹
v e̠ ¹	v e ¹
a ¹	a ²
tʃ ɨ̠ ¹	tʃ ɨ̠ ¹
tʰ o̠ ³	tʰ a ³
n i ²	n i ²
g j ɨ ³	g u ²
s i ³	s i ³
t a ³	t a̠ ³
n e̠ ³	n e̠ ³
l a ³	l a ³
k o ³	k o ³
p a̠ ²	p a̠ ³
pʰ i̠ ³	pʰ i̠ ³
s i ¹	s i̠ ¹
t i ²	t i ²
tsʰ ɛ̠ ¹	tsʰ y ¹
z ɿ ³	z i ³
n i ²	n i ²
g j y ¹	g y ¹
ˀl u ¹	ˀl u ³
ˀv u ³	f u ³
v ɛ̠ ³	v ɛ̠ ³
tʃʰ i̠ ²	tʃʰ i ²
m u ¹	ˀm u ¹
m a ³	m a ³³
m a ³	m a ³
k a ³	k j i ³
ˀl o̠ ³	ˀl o̠ ¹
dz e ¹	dz e ¹
m j a ¹	m j a ŋ ¹
pʰ e ³	pʰ i̠ ³
ˀm e̠ ³	ˀm e̠ ¹
ʃ ɨ ²	ʃ ɨ ²
ɣ i ¹	ɣ i ¹
ɣ a ³	ɣ a ³
b j o ³	ʃ i ³
ɣ i ¹	ɣ i ¹
b ɛ ¹	b ɛ ¹
s i̠ ³	s e̠ ³
s ɛ ²	s ɛ ²
ɣ ɨ ³	ɣ i ¹
ʃ e ²	ɣ u ²
dʒ i ³	dʒ i ³
k a ²	k u ³
dz i̠ ¹	dz i ¹
t y ²	t y ²
pʰ y̠ ³	pʰ y̠ ³
a ²	a ²
tsʰ y ¹	tsʰ y ¹
m ɛ ²	m ɛ ²
ˀl o̠ ³	ˀl o̠ ¹
l ɛ ¹	l ɛ ¹
n i̠ ³	ˀn e̠ ³
ʃ a ŋ ¹	ʃ u ³
g j ɛ ²	kʰ u ²
a ¹	a ¹
ˀm a ŋ ¹	ˀm j y̠ ¹
p u ¹	p u ¹
h ɛ̠ ¹	h ɛ̠ ¹
d e̠ ³	d ɛ̠ ³
h a ¹	h a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
k e̠ ³	k o̠ ¹
g j a ³	g a̠ ³
dz ɛ ²	dz ɛ ²
h e ¹	h e ¹
g j a ŋ ³	g a ³
tʰ u ²	tʰ u ²
m i ¹	m i ¹
pʰ u ³	pʰ u ¹
a ¹	a ¹
t o ŋ ¹	tʃʰ ɛ ²
n̩ ²	n i ²
pʰ i ²	pʰ e ²
l i ³	ˀl i ³
pʰ ɛ ²	pʰ ɛ ²
n y ¹	n y ¹
ɣ u ²	ɣ u ²
a ¹	a ¹
ts ɛ ¹	ts ɛ ¹
d e̠ ³	d ɛ̠ ³
dz e ³	x i ³
n i ²	n i ¹
p o ²	p y̠ ¹
e ²	e ²
pʰ e ²	pʰ e ²
x a ¹	x a ¹
s a ²	s a ²
ɣ a ¹	g a ¹
tsʰ a ²	tsʰ a ²
k u ²	k a ŋ ²
b j a ²	b j a ²
m a ²	m a ²
k y ³	k j i ³
z i ²	z i ²
ɣ a ŋ ²	ɣ a ŋ ²
dz i ³	dz i ²
d a ¹	d a ¹
x ɛ ²	x ɛ ²
m e ²	m a ³
t a ⁵⁵	t a ⁵⁵
l a ²	l a ²
n a ŋ ¹	n a ¹
k a ³	k a ŋ ²
p u ¹	p u ¹
g j ɛ ¹	g ɛ̠ ¹
ˀn e̠ ¹	ˀn e̠ ¹
i ²	i ²
ˀŋ j a ¹	ŋ j a̠ ¹
k a ¹	k ɛ ³
ˀn o̠ ³	ˀn u̠ ³
h y̠ ¹	h y̠ ³
p a ¹	p a ¹
ɣ o ¹	ɣ y ¹
ʃ j u ¹	s e ¹
ˀv u ³	f u ³
