k r̥ ei ¹¹	kʰ r ei ¹¹
j a ŋ ⁵¹	ŋ j a t̚ ⁵¹
n a ¹¹	n a ¹¹
l a ⁵⁵	l a ⁵⁵
b l ɛ ʔ̚ ⁵¹	b l ɛ ʔ̚ ⁵¹
k o t ⁵¹	k o t ⁵⁵
tʰ ei ⁵⁵	tʰ ei ⁵⁵
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
kʰ l i ⁵¹	kʰ l i ʔ ⁵¹
cʰ a ⁵⁵	c a ⁵⁵
m w i ɴ ⁵⁵	ˀm i n ⁵⁵
kʰ l o ¹¹	kʰ l o ¹¹
ɴ r a ⁵⁵	t r e ⁵⁵
l a ¹¹	l̥ a ¹¹
n ai ŋ ¹¹	n ei ¹¹
s a ¹¹	s a ¹¹
ʔ a ⁵⁵	ʔ a ⁵⁵
tʰ u ¹¹	tʰ u ¹¹
cʰ e m ⁵⁵	cʰ ə ŋ ⁵⁵
b l ei ⁵⁵	b l ei ⁵⁵
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
k ou ¹¹	h ou ¹¹
k ə ʔ̚ ⁵¹	k ə ʔ ⁰
s ɔ ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
m w u ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
b r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
tʰ o ⁵⁵	tʰ au ⁵⁵
ˀb u ⁵⁵	ˀb ə ⁵⁵
m ə ¹¹	m ɨ ¹¹
cʰ w i ⁵¹	kʰ r w i t ⁵¹
s e ʔ̚ ⁵¹	s i ʔ ⁵¹
