g a ¹	g j a ¹
t e ²	t e ²
k ɛ ¹	k ɛ ¹
l a ²	l a ²
d e ²	d e ³
dʒ i ³	dʒ i ³
p ɨ ²	p j ɨ ²
kʰ a ²	kʰ a ²
v e̠ ³	v e̠ ³
kʰ i ¹	kʰ i ¹
t o ³	t o̠ ³
tsʰ ɛ̠ ¹	tʃʰ ɛ̠ ¹
z a ²	z a ²
a ¹	a ¹
tʰ i̠ ¹	tʃ i̠ ¹
ʃ e̠ ³	ʃ ɨ̠ ¹
p ɨ ²	p j ɨ ²
b y̠ ³	b y̠ ³
v e̠ ³	v e̠ ³
tsʰ e̠ ¹	tsʰ e̠ ¹
kʰ j i ³	tsʰ i̠ ³
tʃʰ o̠ ¹	tʃʰ o̠ ¹
tʃʰ i ¹	tʃʰ e ¹
ˀl a ŋ ³	ˀl a ŋ ³
a ¹	a ¹
g ɨ ¹	g j o ¹
p ɨ ²	p ɨ ²
ˀm e ³	ˀm i ³
kʰ i ²	kʰ i ²
p e̠ ²	p e ³
n i ²	ɲ a ²
ˀm e̠ ³	ˀm j y̠ ¹
v i̠ ³	v i̠ ³
k j ɛ ²	k j ɛ ²
a ¹	a ¹
d a ŋ ¹	d a ŋ ¹
ˀŋ j a ¹	ŋ j a̠ ¹
dz a ²	dz a ¹
i ²	i ²
l o̠ ³	l o̠ ³
ʃ y ¹	s y ¹
tsʰ e ¹	tsʰ e ¹
m a ³	m a ³
a ²	a ²
d o ²	t i ²
s j a ¹	s y ¹
dʒ i̠ ¹	dz i ¹
m a ³	m a ³
ˀl a ¹	ˀl a ¹
s i ²	s i ²
m a ³	m a ³
tʃ a ŋ ¹	tʃ ɛ ¹
a ¹	a ¹
pʰ j a ²	pʰ a ¹
x i ¹	ˀx y ¹
l y ²	l y ²
x a̠ ³	x a̠ ³
ʃ i̠ ³	ʃ i̠ ¹
d a ŋ ³	d a ŋ ¹
v e̠ ³	v e̠ ³
s a ²	s a ²
a ¹	a ¹
tsʰ i ²	tsʰ ɨ ²¹
z ɛ ¹	z ɛ ¹
k a̠ ²	k a ŋ ²
t a ³	t a̠ ³
n ɛ̠ ³	n ɛ ³
ˀl y ¹	ˀl y ³
tsʰ ɛ̠ ²	tsʰ ɛ ²
h e ŋ ¹	h e ¹
kʰ ɨ̠ ³	kʰ ɨ̠ ³
pʰ e ²	pʰ e ²
t a ⁵⁵	t a ⁵⁵
v e̠ ³	v e̠ ³
m a̠ ²	m a ²
m e̠ ¹	m ɛ ³
pʰ i ³	dz ɿ ³
pʰ e̠ ¹	pʰ e̠ ¹
ˀn a ¹	ˀn a ¹
m o ²	m o ²
kʰ a ŋ ²	kʰ a ŋ ²
ɣ i ¹	ɣ i ¹
s e ¹	s e ¹
tʰ e̠ ³	tʰ e̠ ³
ˀl u ³	l u ³
t o ŋ ¹	tʃʰ ɛ ²
n a ²	n a ²
ʃ o̠ ¹	ʃ o̠ ¹
tʃʰ u ³	tsʰ o̠ ¹
ʒ i ¹	ʒ e ¹
pʰ y ²	pʰ y ²
t a ³	t a ³
g a ŋ ³	g a ³
kʰ j i ²	tsʰ ɿ ²
h a ¹	h a ¹
ts ɛ ¹	ts ɛ ¹
ɣ i ¹	ɣ i ¹
ˀl o̠ ¹	ˀl o̠ ¹
k u ¹	k a ²
p i ¹	p ɨ̠ ¹
tʰ a ²	tʰ a ²
m y ²	m o ²
tʰ y ²	tʰ y ²
ˀn e̠ ¹	ˀn e̠ ¹
tʃʰ a ³	tʃʰ e̠ ³
tʰ a ²	tʰ a ²
k a ¹	k ɛ ³
s ɛ ²	s e ²
k ɛ̠ ³	k u ²
b y ²	b y ²
pʰ e̠ ³	pʰ e̠ ³
tʃʰ u ²	t u ²
l a ²	l a ²
n i̠ ¹	n i̠ ¹
s a ²	s a ²
x y ¹	x y ¹
d a ¹	d a ¹
z e̠ ³	z e̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
ʒ o̠ ³	ʒ o̠ ¹
s ɛ ²	s ɛ ²
a ²	a ²
m a̠ ²	m a ²
dz i ³	x i ³
