qʰ o ⁴	qʰ ɔ ⁴
b j ɯ ⁴	b j ɛ ⁴
ɣ e ¹	ɣ æ ¹
tʰ u ²	tʰ u ²
ɕ j e n ¹	s j e n ¹
ɣ ɯ ²	ɣ ɯ ²
ɣ æ ⁴	ɣ æ ⁴
? a ³	h ɔ ³
s i ²	s r i ²
q ɔ ¹	ɣ ɔ ¹
p r i ¹	p r e n ¹
ɣ ɯ ²	ɣ ɯ ²
t w a ⁴	d w a ⁴
sʰ i ²	s r ɯ ²
ŋ w e n ¹	ʁ w e n ¹
kʰ o ŋ ¹	qʰ o ŋ ¹
d o n ¹	ɖʐ o ¹
t ɯ ⁴	d j ɯ ²
ɖʐ i ²	ɖʐ i ²
j o ²	n j o ²
tsʰ u ³	tsʰ u ³
m ɛ ¹	m ɛ ¹
s r j i ⁴	s r i ⁴
ʈ o ŋ ¹	d r o ŋ ¹
x e n ¹	x e n ¹
d r ɯ ³	d ɯ ⁵
ts j j æ n ¹	tɕ æ ŋ ¹
x e n ¹	x e n ¹
j e n ¹	j e n ¹
b æ n ³	b æ n ³
q æ ⁵	q æ ⁵
g ɯ ¹	g ɯ ¹
s o ²	s u ŋ ²
n ɔ n ³	n ɔ ³
ŋ w a ŋ ⁴	ŋ w a ⁴
tɕ i n ²	dʑ i ²
ʁ a ŋ ¹	ʁ a ŋ ¹
m ɛ ¹	m ɛ ¹
tɕʰ e ⁴	tʰ e ⁴
tsʰ i ŋ ¹	tsʰ r e ŋ ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
q ɛ ¹	q ɛ ¹
j o ⁴	j ɔ ⁴
ts i ²	ts r i ²
m æ ⁴	m æ ⁴
pʰ æ ⁴	pʰ æ ⁴
