s e̠ ³	ʃ e̠ ³
l e̠ ³	l e̠ ³
pʰ i̠ ²	pʰ e ²
l y ¹	l y ¹
ˀl y ³	ˀl y ³
h e̠ ³	h e̠ ³
t o̠ ³	t o̠ ³
p a ŋ ²	b a ŋ ²
t y ²	t y ²
i ²	i ²
g u ¹	g a ¹
p a̠ ³	p a̠ ³
s y ²	s y ²
tʰ u ¹	tʰ e̠ ¹
b i ²	b j o ²
g u ²	g j u ²
ˀv a ¹	ˀv a ¹
m ɛ ²	m ɛ ²
tʃʰ i ³	tʃʰ i̠ ³
t i̠ ²	t e ²
l e̠ ³	l e̠ ¹
tsʰ y ¹	tsʰ y ¹
a ¹	a ¹
d i ²	d i ²
dʒ ɛ ²	dʒ ɛ ²
ʃ ɛ ¹	ʃ ɛ ¹
ɣ i ³	ɣ ɨ ³
k a ²	k a ŋ ²
p y ²	p y ²
b a ²	b a ²
l a ²	l a ²
ʒ o̠ ¹	ʒ o̠ ¹
m u ³	m a ŋ ³
ˀn e̠ ²	n e ²
pʰ y ²	pʰ y ²
s a̠ ¹	ʃ a̠ ³
tsʰ y ¹	tsʰ y ¹
n y ²	n y ²
s i̠ ¹	s i̠ ¹
x ɛ ²	x ɛ ²
ˀm e̠ ¹	ˀm j e̠ ¹
b ɛ̠ ¹	b ɛ̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
tʃ ɨ ¹	tʃ u ¹
m a ³	m a ³
m a ²	m a ³
ʃ a ¹	ʃ a ¹
kʰ ɨ ³	kʰ ɨ̠ ³
l a ŋ ¹	l a ŋ ¹
tsʰ e̠ ¹	tsʰ e̠ ³
b a ²	b a ²
t e̠ ³	t a ³
k a ³	ɣ o ³
b j ɛ̠ ¹	b j ɛ̠ ¹
g a ¹	g j a ¹
kʰ i ¹	kʰ ɨ ¹
s a ²	s a ²
t e̠ ¹	t e̠ ¹
ʒ i ²	ɣ a̠ ³
kʰ ɛ ²	kʰ j ɛ ²
d y ²	d y ²
m ɨ ³	m ɨ̠ ³
kʰ a ²	kʰ a ²
ʃ o̠ ¹	h u ¹
s e̠ ¹	s o̠ ³
g o̠ ³	g o̠ ³
m a ²	m a ²
p a ¹	p a ¹
ŋ a ¹	ŋ a ¹
kʰ u ²	kʰ u ²
d y ²	d y ²
a ¹	a ¹
a ¹	a ¹
z a ²	z a ²
g ɛ ²	s y ²
dz e ¹	dz e ¹
s o ¹	ɣ u ²
a ¹	a ¹
kʰ ɛ ³	kʰ ɛ ²
dz a̠ ²	dz i ²
n̩ ²	n i ²
k j e̠ ¹	k o̠ ³
m a ³	m a ³³
ɨ ²	ɨ̠ ³
x a ³	ˀx a ³
ts a ³	ts a ³
d e̠ ¹	d e̠ ¹
l u ³	l u ³
m i ³	m i ¹
ˀn i ¹	ˀn i ¹
d e̠ ¹	d e̠ ¹
a ²	a ¹
m a ³	m a ³
m a ²	m ɛ ²
s i̠ ¹	s i̠ ¹
ŋ u ¹	ŋ w a ¹
d a ³	d y ²
pʰ e̠ ¹	pʰ e̠ ¹
kʰ y ²	kʰ y ²
g j i ²	g u ²
m a ¹	m a ŋ ²
ʒ i ³	ʒ i̠ ³
a ¹	a ¹
pʰ e̠ ²	pʰ e ²
ˀn y ¹	ˀn y ¹
p a ¹	p e ¹
s i̠ ¹	s i̠ ¹
ts e ²	ts e ²
k j e̠ ³	tʃ e̠ ³
ˀl a ŋ ³	l o̠ ³
g y ¹	g y ¹
tsʰ e ¹	tsʰ e ¹
a ¹	a ¹
d e̠ ³	d e̠ ³
d o̠ ¹	d o̠ ¹
d a ²	d a ²
dʒ a ŋ ¹	dʒ a ŋ ¹
m ɛ ²	m e ²
kʰ o̠ ³	kʰ o̠ ³
kʰ ɨ ²	kʰ o ²
tsʰ i ²	tsʰ i ¹
n e̠ ³	n e ²
g ɨ ¹	g ɨ ¹
tsʰ o̠ ¹	tsʰ o̠ ¹
g a ³	g a ³
