g y ¹	g j o ¹
g j a ¹	g j a ¹
ʃ ɛ ¹	ʃ ɛ ¹
kʰ i ¹	kʰ i ¹
ˀv ɛ̠ ¹	ˀv ɛ̠ ¹
kʰ ɛ ²	kʰ j ɛ ²
g a ³	g a ³
kʰ i ²	kʰ i ²
g j a ³	g a̠ ³
m u ²	m j a ²
n i ³	n i ²
s ɛ ²	s ɛ ²
v i̠ ³	v e̠ ³
ɣ ɨ ³	ɣ ɨ ³
ts ɨ ²	ts i ²
z e̠ ³	z e̠ ³
tʰ u ³	tʰ u ³
ɣ i ¹	ɣ i ¹
m̩ ²	m u ²
z ɛ ¹	z ɛ ¹
a ²	a ²
a ¹	a ¹
kʰ ɛ ³	kʰ ɛ ²
v ɛ ¹	v u ¹
z o̠ ²	ʒ o̠ ³
g j a ¹	g j a ¹
ɣ i ¹	ɣ i ¹
m a ²	m a ²
tsʰ ɨ ³	tsʰ i̠ ¹
tʃ a ¹	tʃ a ¹
a ¹	a ¹
ˀm ɛ ¹	ˀm ɛ̠ ¹
pʰ i ²	p i ²
z i ²	z i̠ ³
ˀn i ³	ˀn i ³
m i ²	m ɨ ²
d ɛ ²	d ɛ ²
m i ¹	ˀm i ¹
kʰ i̠ ¹	kʰ e̠ ¹
ŋ j a̠ ¹	ˀŋ j a̠ ¹
m e ²	m ɛ ²
l a ²	l a ²
ts e ²	ts e ²
m̩ ²	m̩ ²
tʰ a ³	tʰ a ³
b o ²	b a ²
m o ¹	m u ¹
ʒ o̠ ³	ʒ o̠ ³
ɣ i ¹	ɣ i ¹
pʰ ɨ ²	pʰ ɨ ²
m a ²	m a ²
pʰ j a̠ ²	b a ²
a ²	a ²
p o̠ ¹	p o̠ ¹
tsʰ y̠ ²	tsʰ y̠ ³
m a ¹	m a ¹
s o ³	s o̠ ³
ˀl y ¹	ˀl y ¹
tʰ y ¹	tʰ y ¹
t o̠ ³	d o̠ ³
k o̠ ²	k o̠ ¹
a ¹	a ¹
m y̠ ³	m ɨ ²
n i̠ ¹	n i̠ ¹
n y ¹	n y ¹
l a ²	l a ŋ ²
s e̠ ³	s e̠ ³
k i ¹	k i ¹
p y ³	p y ³
l a ²	l a ²
b e̠ ¹	b e̠ ¹
k a ³	k a ²
pʰ e̠ ¹	pʰ e̠ ¹
h e̠ ³	h e̠ ³
b o ¹	b e ³
dz e ²	dz e ²
m a ²	m a ²
tʃ a ³	tʃ a ³
tsʰ a ŋ ¹	tsʰ a ŋ ¹
ts o̠ ²	ts u ²
d i ¹	d i ¹
b y ¹	b y ¹
pʰ y̠ ³	pʰ y̠ ³
ŋ o ¹	ŋ o ¹
k i ³	k a ŋ ²
h a̠ ³	ɣ a̠ ³
tʃ e̠ ³	ts e̠ ³
h e ¹	h e ¹
d u ²	d u ²
a ¹	a ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
tʃʰ i̠ ³	tʃʰ i̠ ³
n e̠ ²	ˀn e̠ ³
s i ¹	s i̠ ¹
kʰ u ¹	kʰ u ¹
m a ²	m a ²
pʰ y ²	pʰ y ²
ɣ y ³	ɣ o ³
n o̠ ¹	n u̠ ¹
b ɛ ³	b ɛ ¹
k j e̠ ³	tʃ e̠ ³
kʰ i ¹	kʰ i ¹
n y ¹	n y ¹
ʃ ɛ ³	s e ³
dʒ i ¹	dʒ i ¹
k o ²	k j o ²
s i̠ ³	s e̠ ³
ɣ a ŋ ²	ɣ a ŋ ²
d a ŋ ¹	d a ŋ ¹
l y ¹	l y ¹
l e̠ ³	l e̠ ³
ˀn i ¹	ˀn i ¹
z o̠ ²	z a ²
b e̠ ¹	b e̠ ¹
ts a ³	ts a ³
z a ²	z a ²
a ¹	a ¹
a ¹	a ¹
n e ³	n e ²
b y ³	b y ³
s e̠ ¹	s a ¹
m j a ³	m j a ³
ɣ a ŋ ²	ɣ a ŋ ²
dʒ ɛ ¹	dʒ ɛ ¹
