b i ³	b r i ³
tsʰ r e ŋ ¹	tsʰ r e ŋ ¹
dʑ r e n ¹	dʑ e n ¹
tɕ i ¹	tɕ i ¹
z ɔ ¹	z ɔ ¹
g r u ŋ ²	ɣ u ŋ ²
ŋ w e ŋ ²	ŋ w e n ²
s w a n ¹	s w a ŋ ¹
ɣ æ ⁴	ɣ æ ⁴
m æ ¹	m æ ¹
d a ⁴	d a ⁴
tɕ o ŋ ¹	tɕ u ¹
tɕ j æ ⁴	tɕ æ ¹
m ɯ ²	m ɯ ²
ɖʐ o ⁴	ɖʐ o ⁴
m r æ n ¹	m j æ ¹
x w i ²	x w i ²
sʰ ɛ ⁴	sʰ ɛ ⁴
qʰ o ŋ ²	ɣ o ŋ ¹
d r ɯ ⁴	ʈ ɯ ⁴
qʰ ɯ ¹	k ɯ ¹
k o ⁴	k o ⁴
a ³	ʔ a ⁴
ʈ o ⁴	ʈ o ⁴
q a ŋ ¹	q a ŋ ¹
ŋ o ŋ ¹	ŋ ɔ ¹
tsʰ j æ n ¹	tsʰ j æ n ¹
n j o ŋ ¹	n j o ¹
p r o ŋ ¹	p r ɔ ¹
sʰ r o ŋ ¹	sʰ r ɔ ¹
tsʰ e ŋ ²	tsʰ r e n ²
l ɔ ¹	l a ¹
p æ ⁴	p æ ⁴
ʈ j o ŋ ¹	d r o ŋ ¹
b æ ¹	b æ ¹
s r i ⁴	s r i ⁴
χ w a ⁴	h w a ⁴
n j e n ¹	n j e n ¹
s j i ⁴	s j i ⁴
ts o ⁴	ts o ⁴
ɣ ɔ ⁴	ɣ o ⁴
h ɔ ¹	h ɔ ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
s r u ¹	s r u ¹
tsʰ i ⁴	tsʰ j i ⁴
ts u ŋ ²	ts u ŋ ²
χ æ n ¹	χ æ n ¹
