x y ¹	ˀx o̠ ¹
l a ²	l a ²
dʒ a ŋ ¹	dʒ a ŋ ¹
a ¹	a ¹
kʰ ɛ ¹	kʰ e̠ ¹
ɣ ɨ ³	ɣ i ¹
s a ²	s a ²
n̩ ²	n i ²
t i ¹	t i ¹
l y ²	l y ²
a ²	a ¹
ˀm i ¹	ˀm j e̠ ¹
tʃʰ i ³	tʃʰ i̠ ³
t e̠ ¹	t e̠ ¹
g i ¹	tsʰ i̠ ³
m o̠ ²	m o̠ ³
ʃ o̠ ¹	ʃ o̠ ¹
b i ²	b j o ²
b a ŋ ²	v a ŋ ²
ˀm y ²	ˀm y ²
m a ³	m a ³
l o̠ ¹	l u ¹
l e̠ ³	l e̠ ¹
b a ²	b a ²
z e̠ ³	z e̠ ³
g u ³	g o ŋ ³
d u ¹	t u ¹
g a ³	g j a ³
m a ŋ ²	m a ŋ ²
ʒ i ²	ʒ i̠ ³
p e ²	p e ³
v e̠ ³	v e̠ ³
l u ²	l u ²
m u ¹	ˀm u ¹
tʰ y ³	tʰ y ³
ʃ y ²	s y ²
pʰ j a ŋ ¹	pʰ j a ¹
ŋ u ¹	ŋ w a ¹
l a ²	l a ²
p y ¹	p y ¹
a ¹	a ¹
a ¹	a ¹
g a ¹	g a ³
ˀl y ¹	ˀl y ¹
x ɛ ¹	x e̠ ³
pʰ ɛ ²	pʰ ɛ ²
g j u ²	kʰ y ¹
p a ¹	p a ¹
z e ³	z i̠ ³
ɣ ɨ ³	ɣ y̠ ³
p a ³	p a̠ ³
kʰ ɨ ²	kʰ ɨ ²
b e̠ ¹	b e̠ ¹
x ɛ ¹	kʰ a ²
tʰ e ²	t i̠ ³
a ¹	a ¹
ˀn e̠ ¹	ˀn e̠ ¹
l o̠ ³	l o̠ ³
tsʰ y ¹	tsʰ y ¹
z a ²	z a ²
ˀn a ²	ˀn a ²
ʃ a̠ ³	ʃ a̠ ³
p a̠ ³	p a̠ ³
dʒ a ¹	dʒ a ¹
h u ¹	h e ¹
ɣ i ¹	ɣ ɨ ¹
tsʰ a ¹	tsʰ a ¹
pʰ u ³	pʰ u ³
x i ¹	ˀx y ¹
ts a ³	dʒ ɛ ²
k a ³	k o̠ ³
tsʰ a ²	tsʰ a ²
p a̠ ³	p a̠ ³
k j i̠ ³	k o̠ ¹
ˀl a ŋ ³	ˀl u ²
g o ³	g u̠ ³
kʰ i ¹	tʃʰ e̠ ¹
ʒ u ¹	ʒ o̠ ¹
l a ²	l a ²
ts i̠ ³	ts i̠ ³
ɣ i ¹	ɣ i ¹
d e̠ ³	d ɛ̠ ³
m a ³	m a ³
s o ¹	ɣ u ²
h e ¹	h e ¹
ʒ i ¹	ʒ e ¹
x a ²	x a ²
k a ³	k a ¹
m a ²	ˀm u ¹
dz i ²	dʒ i ²
l y ¹	l y ¹
ɣ a ¹	s e ¹
s y ²	s i ³
ˀm ɛ̠ ¹	ˀm ɛ̠ ¹
m ɛ ²	m ɛ ²
m ɛ ²	m ɛ ²
tsʰ u ³	tsʰ e̠ ¹
k i ¹	k i ¹
g j o̠ ³	g o̠ ³
pʰ ɛ ³	f ɛ ³
m y ¹	m y ¹
l e̠ ²	l e̠ ³
s ɛ ²	s ɛ ²
n a ³	ɲ a̠ ¹
z a ²	dz i ²
k ɛ ¹	k ɛ ³
ʃ a ¹	ʃ a ¹
ˀm i ¹	ˀm i ¹
t e ²	t e ²
ts ɛ̠ ²	ts ɛ ¹
m y ³	m ɨ ²
d y ¹	d y ¹
d y ²	d y ²
tʃ a ³	tʃ a ¹
kʰ ɛ ³	g a ³
ˀn a ¹	ˀn a ¹
dz u ³	tʰ e̠ ³
x a ŋ ³	dʒ i ²
v ɛ ²	pʰ e ²
dz i ²	dz e ²
ˀn i ³	ˀn i ³
tʰ e̠ ³	tʰ e̠ ³
m a̠ ²	m ɨ ²
pʰ o ²	pʰ i ²
k a ŋ ³	k o ³
