s r ɔ ¹	sʰ r ɔ ¹
tɕ r i ¹	tɕ ɯ ¹
ŋ w a ŋ ⁴	ŋ w a ⁴
tɕ j e n ¹	tɕ e n ¹
χ æ n ¹	χ æ n ¹
n o ²	n o ²
g u ¹	g u ¹
d r ɯ ²	ʈ ɯ ²
m ɯ ¹	m ɯ ¹
k o ⁴	k o ⁴
k æ ⁴	k æ ⁴
m æ ¹	m æ ¹
s r o ¹	s r o ¹
m ɯ ²	m ɯ ²
ts o ⁴	ɖʐ u ŋ ⁴
j e n ¹	j e n ¹
q a ⁴	q æ ⁴
tsʰ ŋ a ⁴	tsʰ w a ⁴
ʈ o ⁴	d r o ⁴
ts o ŋ ²	ts u ŋ ²
tʰ e ⁴	tʰ r e ⁴
k w a ⁴	k w a ⁴
q ɯ ¹	q ɯ ¹
m æ ¹	m æ ¹
b e ²	b e ²
b e ¹	b e ¹
p j æ ⁴	p r æ ⁴
ts i ²	ts r i ²
q ɯ ¹	q ɯ ¹
ɕ r o ŋ ¹	ɕ o ŋ ¹
k u ²	k u ²
tʰ e ⁴	tʰ e ⁴
b æ ¹	b æ ŋ ¹
? ʔ o ŋ ¹	z r o ŋ ¹
m i ¹	m e ¹
kʰ j o ²	kʰ r o ²
ʔ w e n ¹	ʔ w e n ¹
n j e n ⁴	n j e ⁴
l ɔ ¹	l ɔ ¹
tɕ i ⁴	ts j i ⁴
m ɔ ¹	m ɔ ¹
j æ ³	b j o ²
ts n u ²	ts u ²
tɕʰ j e n ¹	tsʲʰ e n ¹
tʰ r æ n ¹	tʰ æ n ¹
tsʰ j e n ²	ɖʐ e n ²
