p u ²	p ɯ ²
m r æ n ¹	m j æ ¹
t w i ⁵	d w ɛ ⁵
tʰ a ⁴	tʰ a ⁴
d w e ⁴	ts w ɛ ⁴
pʰ æ ¹	pʰ r æ ¹
qʰ u ²	qʰ u ²
b o ⁴	p j u ⁴
d r o ⁴	ɖʐ o ⁴
ŋ ɯ ¹	ŋ ɯ ¹
m i ¹	m i ¹
m e ¹	m e ¹
pʰ j a ⁴	pʰ r a ⁴
ŋ o ŋ ²	ŋ u ²
d a ¹	d ɔ ¹
b i ⁴	p r i ⁴
q w a ⁴	ɣ w a ⁴
ɣ ɯ ²	ɣ ɯ ²
s o ³	sʰ ɔ ³
k w a ⁴	k w a ⁴
m æ ¹	m æ ¹
p r a ŋ ⁵	b a ŋ ⁴
p ɛ n ⁵	p r e n ⁵
tʰ æ n ¹	tʰ æ n ¹
q w ɛ ³	q w ɛ ³
m j æ n ¹	m j æ ¹
ts u ⁴	dz o ⁴
b i ³	pʰ j ɛ ³
ts i ²	ts r i ²
tsʰ u ³	tsʰ u ³
k o ŋ ¹	ɣ o ŋ ¹
m ɯ ²	m ɯ ²
ɕ r i ²	ɕ w i ²
w e n ¹	z e n ¹
m ɯ ³	m ɯ ⁵
ɣ æ ⁴	ɣ æ ⁴
d j æ n ¹	d r æ n ¹
d i ⁴	ɖʐ i ⁴
ts r o ŋ ¹	ts u ŋ ¹
t w e n ²	t w e n ²
s r ɔ ⁵	s r o ⁴
k o ŋ ¹	k o ŋ ¹
qʰ o ŋ ¹	qʰ o ŋ ¹
n ɛ ⁴	n ɛ ¹
d o ŋ ²	d j o ŋ ²
tʰ e ⁴	tʰ e ⁴
