s o ³	sʰ ɔ ³
b æ ¹	b æ ŋ ¹
? w æ ¹	x w a ¹
m e ¹	m e ¹
tsʰ j e n ¹	tsʰ j e n ¹
s r ɔ ¹	sʰ r ɔ ¹
m æ ŋ ²	m æ ²
χ ɯ ²	χ ɯ̃ ²
ts j j e n ⁴	ts j e n ⁵
s r o ²	s r o ²
qʰ o ⁴	qʰ ɔ ⁴
tsʰ w a n ²	tsʰ w a ŋ ²
q a ŋ ¹	q a ŋ ¹
sʰ o ⁴	sʰ o ⁴
tɕ ɯ ¹	tɕ u ¹
pʰ æ ¹	pʰ æ ¹
tʰ j i ¹	tsʰ r i ¹
m r æ n ¹	m j æ ¹
ts i ²	ts i ²
b r i n ¹	b r i ²
m ɛ ⁵	m ɛ ⁵
tsʰ i ⁴	tɕʰ i ⁴
m ɛ ²	m ɛ ²
m i ²	m i ²
s r r o ŋ ¹	sʰ r o ŋ ¹
n j o ²	ŋ j o ²
ŋ w a ŋ ⁴	ŋ w a ⁴
d ø ŋ ²	d j o ŋ ²
t w e n ¹	t w e n ¹
tsʰ i ⁴	tsʰ j i ⁴
m ɯ ³	m ɯ ⁵
ŋ w e n ¹	ŋ w e n ¹
m ø ŋ ²	m ø ²
b ɛ ⁵	b ɛ ⁴
d j ɯ ³	d r ɯ ³
n e ⁴	n e ⁴
p j i ³	pʰ j ɛ ³
q æ n ¹	q æ n ¹
t æ n ¹	t æ ¹
j w æ ⁵	ŋ w æ ⁵
m ɔ ⁴	m ɯ ⁴
ts o ŋ ¹	ts u ŋ ¹
n o ŋ ⁵	n o ŋ ⁵
p r e n ¹	p r e n ¹
d r ɯ ¹	d j ɯ ¹
ɣ o ⁵	ɣ u ⁴
