ʒ i ³	x i ¹
a ¹	a ¹
k ɛ̠ ³	k u ²
v ɛ ¹	v ɛ ¹
x e ¹	x e̠ ³
k j o̠ ²	k u ²
ˀl o̠ ¹	ˀl o̠ ¹
a ¹	a ¹
a ¹	a ¹
ɣ y ²	kʰ j o ³
z e̠ ³	z e̠ ³
ʃ a̠ ³	ʃ a̠ ³
ˀn y ²	ˀn y ¹
b e̠ ²	b y ²
a ²	a ¹
pʰ e ¹	pʰ e ¹
m ɛ ²	m e ²
s i̠ ³	s i̠ ³
n y ¹	ˀn y ¹
d i ¹	d i ¹
v a ³	v a ³
t o̠ ³	d o̠ ³
a ¹	a ¹
p e̠ ³	p ɛ ³
p a̠ ³	p a̠ ³
x a ²	x a̠ ³
k ɛ ¹	k j ɛ ¹
t o ¹	kʰ o̠ ¹
l e̠ ³	l e̠ ³
l a ²	l a ²
tsʰ e̠ ¹	tsʰ e̠ ³
s a̠ ³	ʃ a̠ ³
l a ³	l a ³
dz i ¹	dz i ¹
kʰ o ²	kʰ o ²
tʃʰ i ¹	tʃʰ e ¹
a ¹	a ¹
m a ŋ ¹	m o ¹
tʃ e̠ ³	ts e̠ ³
d u ²	d u ²
kʰ o̠ ²	kʰ j o ²
s y ¹	s y ¹
f u ¹	pʰ u ²
z a ²	z a ²
a ³	a ²
d u ¹	d i ¹
ɣ ɨ ³	ɣ ɨ ³
kʰ u ²	kʰ u ²
dz e ²	dz e ²
l o̠ ¹	l u̠ ¹
t u ³	t u ²
kʰ ɛ ²	kʰ j ɛ ²
b a ³	b a ³
s ɛ ²	s ɛ ²
s e̠ ³	s e̠ ³
k u ¹	k u ¹
b y ³	b y̠ ³
ʒ y ¹	ʒ u ¹
g o̠ ¹	g o̠ ¹
pʰ y̠ ³	pʰ y̠ ³
ˀn i ³	ˀn i ³
k a ³	k a ¹
n i ²	n i ²
b i ³	b i ³
tsʰ u ³	tsʰ e̠ ¹
z i ³	z i ³
d y ³	d a ŋ ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
k ɨ ²	k j o ²
v ɛ ²	pʰ e ²
ʃ y ²	s y ²
a ²	a ²
z i ²	z i ²
k a ³	ɣ o ³
b o ²	b o ²
tʃ a ŋ ¹	tʃ ɛ ¹
m a ²	m a ŋ ²
l a ¹	l a ¹
ʃ ɨ ²	ʃ ɨ ²
ˀl o̠ ³	l o̠ ¹
n̩ ²	n i ²
kʰ i ¹	kʰ i ¹
pʰ u ³	pʰ u ³
b j ɛ̠ ³	b j a̠ ³
ˀm a ²	ˀm a ²
n a ŋ ¹	n a ¹
b ɛ ¹	b ɛ ¹
tʰ a ²	d a ²
d e ²	d e ³
p e̠ ³	pʰ e̠ ¹
g i ²	g j u ²
dz e ¹	dz e ¹
d e ²	d i ²
d e̠ ³	d e̠ ¹
ɣ a ¹	s e ¹
ˀm ɛ ²	m ɛ ²
z a̠ ²	z a ²
p a̠ ³	p a̠ ³
kʰ a ŋ ¹	kʰ j y ¹
x a̠ ³	x a̠ ³
b e ²	b ɛ ²
s u ¹	ʒ a ¹
dz a ³	dz i̠ ¹
l e̠ ³	l e̠ ³
ʃ a ¹	ʃ a ¹
ˀn o̠ ³	ˀn u̠ ³
pʰ e ¹	pʰ e̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
x i ¹	ˀx y ¹
dʒ a ŋ ¹	dʒ a ŋ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
k a ²	k a ŋ ²
m e ³	m ɛ ³
ˀn a ²	ˀn a ²
v u ¹	p a̠ ³
h a ¹	h a ¹
k i ¹	k i ¹
a ¹	a ¹
n a̠ ¹	n a ¹
s a ²	s u ¹
a ¹	a ²
ʒ i ¹	tʃʰ u ¹
m a ³	m a ³
dz i ²	dz i ²
z ɛ ¹	k a ²
