b r u ²	b ɯ ²
d j ɯ ⁴	t ɯ ⁴
ts i ²	ts i ²
ts r o ²	ts r ɔ ²
j ɯ ⁴	j ɯ ⁴
ʈ o ŋ ⁴	ʈ o ⁴
m ɯ ²	m ɯ ²
d r r o ŋ ŋ ⁴	d r o ⁴
tsʰ o ŋ ¹	tsʰ o ŋ ¹
p o ²	p j o ²
g r ɯ ŋ ³	g ɯ̃ ³
q æ ⁵	q æ ⁵
d a ⁴	d a ⁴
b j o ŋ ⁴	b j o ⁴
ɕ j a ⁴	ɕ a ⁴
s w a ⁴	s w a ⁴
m ɯ ²	m ɯ ²
d r o ŋ ¹	d r ɔ ¹
dʑ a ⁴	dʑ a ⁴
tɕ r ɯ ¹	tɕ ɯ ¹
p j o ⁴	p j u ⁴
d r ɯ ²	d r ɯ ²
tsʲʰ j e n ¹	tsʰ j e n ¹
s j i ²	s j i ²
z e n ¹	z e n ¹
ŋ o ⁵	ŋ o ³
p j e n ¹	p r e n ¹
ɣ ɯ ²	ɣ ɯ ²
p j o ⁵	p j o ⁵
h æ n ¹	χ æ n ¹
ts w ɛ ⁴	ts w ɛ ⁴
j o ⁴	j ɔ ⁴
tsʰ r o ŋ ²	tsʰ r e n ²
d r ɯ ³	d r ɯ ³
kʰ o ŋ ¹	kʰ o ŋ ¹
p r a ⁴	p r a ⁴
h ɔ ³	h ɔ ³
d r e ⁴	d r ɛ ⁴
q æ ŋ ¹	q æ n ¹
ɣ ɔ ¹	ɣ ɔ ¹
tsʰ o ⁴	tsʰ o ⁴
p ɛ ⁴	b ɛ ⁴
k w a ⁴	k w a ⁴
kʰ o ŋ ¹	qʰ o ŋ ¹
qʰ a ⁴	qʰ a ⁴
s a ⁴	ɕ a
æ ³	ʔ a ⁴
