ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS
701	Cora	Ash	nasí	nasí	n a s i	211
702	Huichol	Ash	naʂi	naʂi	n a ʂ i	211
704	Tepiman	Ash	mátai	mátai	m a t ai	212
705	Cahita	Ash	náposa	náposa	n a p o s a	213
706	Tarahumaran	Ash	napisó	napisó	n a p i s o	213
707	ProtoCoracholNahua	Ash	**nasi (+tubar)	nasi_	n a s i	211
186	Cora	Bark	ku¢apé	ku¢apé	k u ts a p e	61
187	Huichol	Bark	kunieri	kunieri	k u n i e r i	62
189	Tepiman	Bark	*komi	komi	k o m i	64
387	Cora	Belly	huká/huti?(Ortega 1973)/	ɨhti	ɨ h t i	120
388	Huichol	Belly	huka/(huriepa Grimes)	huka	h u k a	120
390	Tepiman	Belly	vóoka	vóoka	v o o k a	120
391	Cahita	Belly	tópa	tópa	t o p a	122
392	Tarahumaran	Belly	topá	topá	t o p a	122
393	ProtoCoracholNahua	Belly	**hotie-	hotie-	h o t i e	120
395	Cora	Belly button	sipu¢i	sipu¢i	s i p u ts i	123
396	Huichol	Belly button	ʂɨtemu¢i	ʂɨtemu¢i	ʂ ɨ t e m u ts i	123
399	Tepiman	Belly button	hiko	hiko	h i k o	123
400	Cahita	Belly button	síiku	síiku	s i i k u	123
401	Tarahumaran	Belly button	sikú	sikú	s i k u	123
402	ProtoCoracholNahua	Belly button	**siku-**tempo¢i	siku-tempo¢i	s i k u + t e m p o ts i	123
36	Cora	Big	bé’e	bé	b e	9
37	Huichol	Big	e-nena/(waiya ‘gordo’)	e-nena	e + n e n a	10
39	Tepiman	Big	*gɨ	gɨ	g ɨ	9
40	Cahita	Big	*bweru	bweru	bʷ e r u	9
41	Tarahumaran	Big	*weru	weru	w e r u	9
42	ProtoCoracholNahua	Big	*we:-	we:-	w eː	9
148	Cora	Bird	pína’a	pína	p i n a	50
149	Huichol	Bird	wi:ki	wi:ki	w iː k i	51
151	Tepiman	Bird	*uuhigi	uuhigi	uː h i g i	51
152	Cahita	Bird	*wiikit	wiikit	w iː k i t	51
453	Cora	Bite	čé	čé	tʃ e	136
454	Huichol	Bite	kee	kee	k eː	136
456	Tepiman	Bite	kɨyi	kɨyi	k ɨ j i	136
457	Cahita	Bite	keye	keye	k e j e	136
458	Tarahumaran	Bite	ki¢u	ki¢u	k i ts u	136
459	ProtoCoracholNahua	Bite	*ke	ke	k e	137
763	Cora	Black	sú’umwara’a	sú	s u	236
764	Huichol	Black	yɨwi	yɨwi	j ɨ w i	237
766	Tepiman	Black	tuku	tuku	t u k u	239
767	Cahita	Black	čukuli	čukuli	tʃ u k u l i	239
218	Cora	Blood	su’úre’e	su	s u	70
219	Huichol	Blood	ʂuriya	ʂuriya	ʂ u r i j a	70
